country,hhid,grappe,menage,vague,logem,mur,toit,sol,eauboi_ss,eauboi_sp,elec_ac,elec_ur,elec_ua,ordure,toilet,eva_toi,eva_eau,year,tv,fer,frigo,cuisin,ordin,decod,car,superf,grosrum,petitrum,porc,lapin,volail,sh_id_demo,sh_co_natu,sh_co_eco,sh_id_eco,sh_co_vio,sh_co_oth
NER,101,1,1,2,Proprietaire sans titre,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,2021,Non,Non,Non,Non,Non,Non,Non,,0,50,0,0,0,Non,Oui,Oui,Oui,Non,Non
NER,103,1,3,2,Proprietaire sans titre,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,2021,Non,Non,Non,Non,Non,Non,Non,,0,20,0,0,0,Non,Oui,Oui,Non,Non,Non
NER,104,1,4,2,Proprietaire sans titre,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,2021,Non,Non,Non,Non,Non,Non,Non,,0,8,0,0,0,Non,Oui,Oui,Non,Non,Non
NER,105,1,5,2,Proprietaire sans titre,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,2021,Non,Non,Non,Non,Non,Non,Non,,0,5,0,0,0,Non,Non,Oui,Non,Non,Non
NER,106,1,6,2,Autre,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,2021,Non,Non,Non,Non,Non,Non,Non,,0,3,0,0,0,Oui,Non,Non,Non,Non,Non
NER,108,1,8,2,Autre,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,2021,Non,Non,Non,Non,Non,Non,Non,,2,8,0,0,0,Oui,Non,Non,Non,Non,Non
NER,111,1,11,2,Proprietaire sans titre,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,2021,Non,Non,Non,Non,Non,Non,Non,,0,30,0,0,0,Non,Oui,Non,Non,Non,Non
NER,112,1,12,2,Proprietaire sans titre,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,2021,Non,Non,Non,Non,Non,Non,Non,,20,26,0,0,0,Oui,Oui,Non,Non,Non,Non
NER,121,1,21,2,Autre,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,2021,Non,Non,Non,Non,Non,Non,Non,,0,5,0,0,0,Non,Oui,Non,Non,Non,Non
NER,123,1,23,2,Autre,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,2021,Non,Non,Non,Non,Non,Non,Non,,0,12,0,0,0,Non,Oui,Non,Non,Non,Non
NER,125,1,25,2,Autre,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,2021,Non,Non,Non,Non,Non,Non,Non,,0,8,0,0,0,Non,Non,Non,Oui,Non,Non
NER,127,1,27,2,Proprietaire sans titre,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,2021,Non,Non,Non,Non,Non,Non,Non,,0,8,0,0,0,Non,Non,Non,Non,Non,Non
NER,201,2,1,2,Proprietaire titre,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,2021,Oui,Oui,Non,Non,Non,Non,Non,,0,9,0,0,0,Non,Oui,Oui,Non,Non,Non
NER,203,2,3,2,Proprietaire titre,Oui,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Non,2021,Non,Non,Non,Non,Non,Non,Non,,,,,,,Oui,Oui,Oui,Non,Non,Non
NER,205,2,5,2,Autre,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,2021,Non,Non,Non,Non,Non,Non,Non,,,,,,,Non,Non,Oui,Non,Non,Non
NER,206,2,6,2,Proprietaire titre,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,2021,Non,Non,Non,Non,Non,Non,Non,,,,,,,Non,Non,Non,Non,Non,Non
