"country","hhid","grappe","menage","vague","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","year","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
,101,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"CIV",102,1,2,1,3,1,1,1,1,1,1,1,0,1,1,1,1,2021,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"CIV",103,1,3,1,3,1,1,1,1,1,1,1,0,1,1,1,1,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",104,1,4,1,4,1,1,1,1,1,0,1,0,1,1,1,1,2021,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"CIV",105,1,5,1,3,1,1,1,1,1,0,1,0,1,1,1,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CIV",106,1,6,1,3,1,1,1,1,1,1,1,0,1,1,1,0,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CIV",107,1,7,1,3,1,1,1,1,1,1,1,0,1,1,1,1,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CIV",108,1,8,1,3,1,1,1,1,1,1,1,0,1,1,1,1,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CIV",109,1,9,1,3,1,1,1,1,1,1,1,0,1,1,1,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",110,1,10,1,3,1,1,1,1,1,1,1,0,1,1,1,0,2021,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",111,1,11,1,3,1,1,1,1,1,0,1,0,1,1,1,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CIV",112,1,12,1,3,1,1,1,1,1,1,1,0,1,1,0,1,2021,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",127,1,27,1,3,1,1,1,1,1,1,1,0,0,0,1,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",201,2,1,2,3,1,1,1,1,1,1,1,0,1,1,1,1,2021,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"CIV",202,2,2,2,3,1,1,1,1,1,1,1,0,1,1,1,1,2021,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CIV",203,2,3,2,3,1,1,1,1,1,1,1,0,1,1,1,1,2021,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
,204,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"CIV",205,2,5,2,4,1,1,1,1,1,1,1,0,1,1,1,1,2021,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",206,2,6,2,4,1,1,1,1,1,1,1,0,1,1,1,1,2021,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",207,2,7,2,4,1,1,1,1,1,1,1,0,1,1,1,1,2021,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"CIV",208,2,8,2,4,1,1,1,1,1,1,1,0,1,1,1,1,2021,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"CIV",209,2,9,2,4,1,1,1,1,1,1,1,0,1,1,1,1,2021,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
,210,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
