"grappe","s04q00","s04q00_autre","s04q01","s04q02","s04q03","s04q03_autre","s04q04","s04q05_1","s04q05_2","s04q05_3","s04q05_4","s04q05_5","s04q05_6","s04q05_7","s04q05_8","s04q05_9","s04q05_10","s04q05_11","s04q05_12","s04q05_autre","s04q06","s04q07_1","s04q07_2","s04q07_3","s04q07_4","s04q07_5","s04q07_6","s04q07_7","s04q07_8","s04q07_autre","s04q08","s04q09_1","s04q09_2","s04q09_3","s04q09_4","s04q09_5","s04q09_6"
589,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,17,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,18,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,11,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,12,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,14,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,17,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,18,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,3,,1,1,1,,1,2,2,2,2,2,2,2,2,2,2,2,1,"jeunes du quartier",1,2,2,2,2,2,,2,1,"volontaires",,1,2,1,2,2,1
591,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,5,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,7,,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
591,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,10,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,11,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,12,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,14,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,17,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,18,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,6,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,7,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,11,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,12,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,14,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,17,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,18,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,5,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,6,,1,1,3,,1,1,1,2,2,2,2,2,2,1,2,2,1,"conseiller du village",1,2,1,2,2,2,2,2,2,,1,2,2,2,2,2,2
593,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,8,,1,1,2,,1,1,1,1,2,2,2,2,2,1,2,2,1,"conseiller du village",1,2,1,2,2,2,2,2,2,,1,2,2,1,2,2,2
593,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
