"grappe","menage","vague","s20bq01","s20bq03","s20bq04a","s20bq04b","s20bq04c","s20bq04d","s20bq06a","s20bq06b","s20bq07a","s20bq07b","s20bq07c","s20bq08__1","s20bq08__2","s20bq08__3","s20bq08__4","s20bq09","s20bq10","s20bq11","s20bq12__1","s20bq12__2","s20bq12__3","s20bq12a1","s20bq12b1","s20bq12c1","s20bq12d1","s20bq12a2","s20bq12b2","s20bq12c2","s20bq12d2","s20bq13a","s20bq13b2","s20bq13c","s20bq13d","s20bq13e","s20bq13f","s20bq13g","s20bq13h","s20bq13i","s20bq13j","s20bq14a","s20bq14b","s20bq14c","s20bq15a","s20bq15b","s20bq15c","s20bq16","s20bq17a","s20bq17b","s20bq18a","s20bq18b","s20bq18c","s20bq18d","s20bq18e","s20bq18f","s20bq18g","s20bq18g_autre"
5,2,1,3,3,2,1,4,1,1,1,1,2,3,2,2,2,2,1,3,1,0,0,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,2,4,4,4,3,3,3,3,3,3,3,
5,4,1,3,3,4,2,4,2,2,1,2,2,2,2,2,1,2,2,2,2,0,0,1,,,,,,,,,2,1,1,2,2,2,2,2,3,3,1,3,2,3,2,3,4,3,2,2,3,3,3,3,3,3,
5,5,1,3,3,3,2,4,2,1,1,2,2,2,2,2,2,2,2,3,2,0,0,1,,,,,,,,,2,2,2,3,3,2,2,2,2,2,1,4,2,2,1,1,3,3,3,3,3,3,2,3,3,3,
5,6,1,2,3,3,1,3,1,1,1,1,2,2,2,2,1,1,2,3,1,0,0,1,,,,,,,,,2,3,1,1,2,2,1,1,3,3,1,4,2,3,1,2,4,4,4,3,3,3,3,3,3,3,
5,7,1,3,2,3,2,4,1,1,1,1,1,2,2,2,2,2,2,3,2,0,0,1,,,,,,,,,2,2,2,2,3,3,3,2,2,2,1,4,2,2,1,1,3,3,3,3,3,3,3,3,3,3,
5,9,1,3,2,4,2,4,2,1,1,2,2,2,2,2,1,2,2,2,2,0,0,1,,,,,,,,,2,1,1,2,3,2,2,3,3,4,2,3,2,2,2,3,3,3,2,3,2,3,3,2,3,3,
5,10,1,3,3,1,1,4,1,1,1,1,2,2,2,2,2,2,1,3,1,1,1,0,2,"tribunal","recherche de document",10000,4,"tribunal","recherche de documemt personnel",5000,2,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,4,4,4,3,2,3,2,3,1,3,
5,11,1,3,3,4,2,4,2,1,1,2,2,2,2,2,1,2,2,2,2,0,0,1,,,,,,,,,3,1,1,1,2,2,3,2,3,3,2,3,2,3,2,2,3,3,2,3,3,3,2,3,3,3,
5,12,1,3,3,1,1,3,1,1,2,2,2,2,2,2,2,2,1,3,2,0,0,1,,,,,,,,,2,2,2,2,3,3,3,1,3,3,1,2,2,2,1,2,3,3,3,3,3,3,3,3,3,3,
5,13,1,2,3,4,2,4,1,2,1,1,2,3,2,2,2,2,2,2,2,0,0,1,,,,,,,,,2,1,1,2,2,2,2,2,3,3,1,3,2,2,2,3,3,4,3,2,1,3,2,2,3,3,
5,14,1,2,2,3,2,4,2,1,1,2,2,2,2,2,2,2,2,3,1,0,0,1,,,,,,,,,3,2,2,2,4,3,3,3,3,2,1,4,2,2,1,1,3,3,3,3,3,3,3,3,3,3,
5,15,1,3,3,3,3,2,2,1,2,1,1,2,2,2,2,2,2,3,1,0,0,1,,,,,,,,,2,2,2,2,3,2,2,2,2,2,1,4,2,2,2,1,4,4,3,3,3,3,3,3,3,3,
6,2,2,2,3,3,1,3,3,1,1,1,1,1,2,2,2,2,2,3,1,0,0,1,,,,,,,,,2,3,3,3,1,1,1,1,1,1,2,4,2,3,2,2,4,2,2,3,3,3,3,3,3,3,
6,3,2,2,3,3,2,3,3,1,1,1,1,1,2,2,2,2,3,3,3,0,0,1,,,,,,,,,3,3,1,1,1,3,3,3,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,
6,4,2,2,3,3,2,3,3,1,1,1,1,1,2,2,2,2,1,3,3,0,0,1,,,,,,,,,3,2,1,1,1,1,1,3,4,1,2,2,2,3,3,3,3,3,2,3,3,3,2,3,3,3,
6,5,2,3,3,3,2,4,4,1,1,3,3,2,2,2,2,2,3,2,4,0,0,1,,,,,,,,,3,2,1,3,3,3,3,3,4,4,2,4,2,4,3,3,2,2,3,3,3,3,3,3,3,3,
6,6,2,2,2,4,4,4,1,2,1,2,2,3,2,2,1,1,2,2,2,0,0,1,,,,,,,,,3,1,3,3,3,3,3,3,3,3,1,3,2,3,2,2,4,4,2,3,3,1,3,3,3,2,"association a but non lucratif"
6,7,2,1,2,3,2,4,4,1,1,1,1,3,2,2,1,2,2,3,1,0,0,1,,,,,,,,,4,2,2,2,3,4,3,3,4,4,2,4,2,4,1,1,1,4,4,3,3,3,3,3,3,3,
6,8,2,2,2,2,3,1,3,2,2,2,3,3,2,2,2,2,2,3,1,0,0,1,,,,,,,,,4,1,1,4,4,4,4,4,4,4,2,4,2,4,4,4,3,3,3,3,3,3,3,3,3,3,
6,10,2,3,1,2,2,4,3,2,1,2,2,3,2,2,2,2,2,3,2,0,0,1,,,,,,,,,4,4,3,3,4,3,4,3,3,4,2,4,2,3,2,2,1,2,3,3,3,3,3,3,3,3,
6,11,2,2,2,3,2,4,2,2,2,1,1,1,2,2,2,2,3,3,2,0,0,1,,,,,,,,,3,3,1,1,1,1,1,1,3,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,
6,12,2,3,3,4,2,4,1,2,1,3,2,3,2,2,1,1,2,3,2,0,0,1,,,,,,,,,2,2,2,2,2,2,3,3,3,3,1,3,2,2,2,3,4,4,2,3,3,3,3,3,3,3,
6,13,2,3,3,4,2,4,2,2,1,2,2,2,2,2,1,2,3,2,2,0,0,1,,,,,,,,,3,2,3,2,2,2,2,3,3,3,1,4,2,3,2,3,4,4,2,3,3,3,3,2,3,3,
6,14,2,3,3,4,2,4,2,2,1,1,2,2,2,2,1,2,2,2,2,0,0,1,,,,,,,,,2,2,2,2,1,2,2,2,3,3,1,3,2,3,2,3,4,4,2,3,3,3,3,3,3,3,
7,1,1,2,3,4,2,4,1,1,1,2,1,3,2,2,1,2,2,2,2,0,0,1,,,,,,,,,2,1,1,1,2,2,3,3,3,3,1,3,2,3,2,3,3,4,2,3,3,3,2,3,3,3,
7,2,1,4,4,1,1,3,1,1,1,1,1,1,2,2,2,2,2,3,1,0,0,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,3,4,4,4,3,3,3,3,3,3,3,
7,3,1,2,3,3,3,4,1,2,1,1,2,2,2,2,1,2,1,2,1,0,1,0,,,,,1,"etait civile","demande d'extrait",2000,2,1,1,2,2,2,2,2,4,3,1,4,2,3,2,3,4,4,2,3,3,2,2,3,3,3,
7,13,1,3,2,3,2,4,2,1,2,1,1,2,2,2,2,2,2,3,1,0,0,1,,,,,,,,,1,1,2,2,1,2,2,2,2,2,1,4,2,2,1,1,3,3,3,3,3,3,3,3,3,3,
7,14,1,2,3,3,2,4,1,2,1,2,2,2,2,2,1,2,2,2,2,0,0,1,,,,,,,,,3,2,2,3,3,3,3,3,3,3,2,3,2,3,2,2,3,3,3,3,3,3,3,2,3,3,
7,15,1,2,3,1,1,2,1,1,1,1,1,1,2,1,2,1,1,3,1,0,0,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,4,1,2,2,2,4,4,4,2,3,3,3,3,1,3,
7,16,1,2,2,3,2,4,2,1,2,1,1,2,2,2,2,2,2,3,1,0,0,1,,,,,,,,,2,2,2,2,4,3,3,2,3,3,1,4,2,2,1,1,3,3,3,3,3,3,3,3,3,3,
7,17,1,2,2,1,1,4,1,1,1,2,2,2,2,2,2,2,1,3,1,0,0,1,,,,,,,,,2,2,2,2,3,3,3,2,4,4,1,2,2,2,1,1,3,3,3,3,3,3,3,3,3,3,
8,2,2,4,4,3,1,3,3,2,2,1,1,1,2,2,2,2,1,3,1,0,0,1,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,3,3,3,3,3,3,3,
8,3,2,3,3,3,2,2,2,1,1,1,2,2,2,2,1,2,2,2,1,0,0,1,,,,,,,,,1,1,1,2,1,1,1,2,2,2,1,3,2,2,2,2,4,3,2,3,3,3,2,3,3,3,
8,5,2,3,3,3,3,4,2,2,1,1,2,2,2,2,1,1,3,2,2,0,0,1,,,,,,,,,2,2,2,2,2,2,2,2,4,2,1,3,1,3,2,2,3,3,2,3,3,2,3,3,3,3,
8,7,2,3,3,4,2,3,2,1,1,1,1,3,2,2,2,2,2,2,1,0,0,1,,,,,,,,,2,1,3,2,3,3,3,2,4,3,2,4,2,3,4,2,3,3,2,3,3,3,3,3,3,3,
8,8,2,2,2,4,1,4,1,2,1,2,2,2,2,2,1,1,2,2,1,0,0,1,,,,,,,,,2,2,2,2,3,2,2,2,3,3,1,3,1,2,1,1,3,3,2,3,3,3,3,3,3,3,
8,9,2,2,4,1,2,3,4,1,1,1,1,2,2,2,1,1,2,2,1,0,0,1,,,,,,,,,4,1,4,4,4,4,4,4,4,4,2,3,2,3,1,1,3,3,4,3,3,3,2,3,3,3,
8,10,2,2,3,4,2,3,1,2,1,1,1,3,2,2,1,2,2,3,2,0,0,1,,,,,,,,,2,1,2,2,2,2,2,2,4,2,1,2,2,3,2,2,3,3,2,3,2,2,2,3,3,3,
8,12,2,4,4,2,1,3,2,1,1,1,1,1,2,2,2,2,2,3,1,0,0,1,,,,,,,,,1,1,1,1,1,1,1,1,3,1,2,4,1,2,2,2,4,3,4,3,3,3,3,3,3,3,
8,13,2,2,2,3,2,4,2,2,1,1,2,3,2,2,1,1,2,2,2,0,0,1,,,,,,,,,2,2,2,2,3,2,2,2,4,3,1,3,2,3,2,3,4,4,2,3,3,3,3,3,3,3,
8,14,2,1,1,3,3,4,2,1,2,2,3,2,2,2,2,2,2,3,4,0,0,1,,,,,,,,,1,1,1,1,4,4,4,3,3,4,1,1,1,2,2,2,2,3,2,2,3,2,1,1,2,3,
8,15,2,3,3,3,1,3,3,1,1,1,1,1,2,2,2,2,2,3,2,0,0,1,,,,,,,,,3,3,1,1,1,1,1,1,2,1,2,3,2,2,2,2,2,3,2,3,3,3,3,3,3,3,
8,16,2,1,3,2,4,4,3,1,2,1,3,3,2,2,2,2,1,3,1,0,0,1,,,,,,,,,1,1,4,3,4,4,4,4,3,3,2,4,2,3,2,2,3,1,1,3,3,3,3,3,3,3,
9,2,1,3,3,2,2,4,1,1,1,1,2,2,2,2,1,2,1,3,1,0,0,1,,,,,,,,,2,2,2,3,4,3,2,2,4,4,1,3,2,3,2,1,4,4,4,2,2,3,2,2,3,3,
9,5,1,4,3,4,2,3,2,1,1,2,3,3,1,1,1,1,2,2,2,0,0,1,,,,,,,,,2,1,2,2,3,3,3,3,4,3,2,3,2,3,2,2,3,4,3,2,3,3,2,2,3,3,
9,6,1,2,2,4,2,4,1,1,1,1,1,2,2,2,2,2,1,3,1,0,0,1,,,,,,,,,2,2,3,2,4,3,3,2,4,4,1,4,2,2,1,1,4,4,4,3,2,3,3,3,3,3,
9,7,1,4,2,2,1,2,1,1,1,3,4,3,1,1,1,1,1,1,1,1,0,0,2,"douane","voyage",2000,,,,,1,1,1,1,1,1,1,3,4,4,1,3,2,2,1,1,3,2,2,2,2,3,3,2,2,3,
9,8,1,3,4,2,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,,,,,,,,2,1,2,2,3,2,2,2,1,1,1,4,2,2,1,2,4,4,2,2,3,3,3,2,2,3,
9,9,1,2,2,3,1,4,2,1,1,3,3,2,2,2,2,2,2,3,1,0,0,1,,,,,,,,,1,1,1,1,1,1,1,1,1,2,1,4,2,2,2,2,4,4,4,2,2,2,3,3,3,3,
9,10,1,2,3,3,2,3,2,2,1,2,2,2,1,1,1,1,2,1,1,0,0,1,,,,,,,,,2,1,1,1,2,2,3,2,3,3,1,3,2,3,2,2,3,3,3,3,3,3,2,2,3,3,
9,11,1,2,2,3,1,4,1,2,2,2,2,3,2,2,1,1,1,2,1,0,0,1,,,,,,,,,2,2,2,2,3,2,3,2,2,2,1,3,2,2,1,1,4,4,3,3,3,3,2,3,3,3,
9,12,1,3,4,4,3,4,1,1,1,1,1,2,1,1,1,1,1,3,1,0,0,1,,,,,,,,,1,2,2,2,2,2,2,2,3,3,1,3,2,3,3,3,3,4,4,3,3,3,3,2,3,3,
9,13,1,4,3,2,1,4,1,1,1,1,1,2,2,2,1,2,3,3,1,1,0,0,3,"police, mairie","légalisation, extrait de naissance",12000,,,,,1,2,2,2,2,2,2,2,2,2,1,4,2,2,1,2,4,4,3,3,3,3,1,2,3,3,
9,14,1,2,3,3,1,2,1,1,1,1,1,1,2,2,1,2,1,2,1,0,0,1,,,,,,,,,3,1,1,1,1,1,1,1,1,1,1,4,2,2,1,2,4,4,2,3,3,3,3,3,3,3,
9,15,1,3,3,3,2,3,1,1,1,2,3,3,1,1,1,1,2,1,2,0,0,1,,,,,,,,,2,1,1,1,2,2,2,3,4,3,1,3,2,2,1,1,3,3,3,3,3,3,2,3,3,3,
10,1,2,3,3,3,1,3,1,1,1,1,1,1,2,2,2,2,2,3,3,0,0,1,,,,,,,,,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,
10,2,2,1,1,4,2,2,3,2,2,1,1,3,2,2,2,2,2,3,1,0,0,1,,,,,,,,,1,1,4,3,4,3,3,3,4,4,2,4,2,4,3,2,3,2,3,3,3,3,2,3,3,3,
10,3,2,4,3,1,1,1,2,1,1,1,1,1,2,2,2,2,3,2,1,1,0,0,2,"mairie","CONSTRUCTION",400000,,,,,1,1,1,1,2,1,2,1,4,4,2,4,2,2,1,1,3,3,3,3,2,3,2,2,3,3,
10,4,2,4,4,2,2,4,2,1,1,1,3,3,2,2,1,1,2,3,1,0,0,1,,,,,,,,,2,2,1,2,2,2,2,2,3,2,1,3,2,3,3,2,3,4,4,3,3,3,2,3,3,3,
10,5,2,3,3,3,2,4,2,2,1,3,3,3,1,2,1,2,2,2,2,0,1,0,,,,,3,"police","circulation",6000,2,1,2,2,2,2,2,2,3,3,1,3,2,3,2,2,3,3,2,3,2,2,2,3,3,3,
10,6,2,3,3,3,3,3,3,1,1,1,1,1,2,2,2,2,4,3,1,0,0,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,4,2,2,2,2,4,4,1,3,3,3,3,3,3,3,
10,7,2,3,3,3,1,3,2,1,1,1,1,1,2,2,2,2,2,3,3,0,0,1,,,,,,,,,3,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,1,3,3,3,2,3,3,3,
10,8,2,3,3,4,2,2,2,1,2,1,1,1,2,2,2,2,2,3,1,0,0,1,,,,,,,,,2,1,2,2,2,2,2,1,3,3,2,4,2,4,4,3,4,3,3,3,3,3,2,3,3,3,
10,12,2,2,3,3,3,4,1,2,1,1,2,3,2,2,1,2,2,2,2,0,0,1,,,,,,,,,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,2,3,3,3,2,3,3,3,
10,13,2,4,2,2,3,3,2,2,2,1,1,2,2,2,2,2,1,3,1,0,0,1,,,,,,,,,3,3,3,4,3,3,3,3,3,3,2,4,2,1,1,3,3,3,3,3,3,3,3,3,3,3,
10,14,2,3,3,3,3,4,1,2,1,1,2,2,2,2,1,2,2,2,3,0,0,1,,,,,,,,,3,2,2,2,2,2,2,2,4,4,1,3,2,3,2,3,3,3,2,3,3,2,2,2,3,3,
10,15,2,3,3,3,1,3,2,1,1,1,1,1,2,2,2,2,1,3,3,0,0,1,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,1,1,3,3,
11,3,1,4,3,2,2,4,3,1,1,1,1,1,2,2,2,2,3,2,1,1,0,0,10,"police","papiers",15000,,,,,1,1,2,2,1,1,1,1,4,2,1,3,2,1,2,2,3,3,4,3,2,3,3,2,3,3,
11,4,1,3,2,4,2,4,1,1,1,1,1,2,2,2,2,2,2,1,2,0,0,1,,,,,,,,,1,1,1,2,3,2,2,2,3,3,2,4,2,1,1,1,4,4,4,3,3,3,1,1,3,3,
11,5,1,1,2,2,2,4,1,1,1,1,1,3,2,2,2,2,1,3,1,0,0,1,,,,,,,,,2,1,2,2,3,3,3,1,4,4,2,2,2,2,1,1,3,2,3,3,3,3,1,3,3,3,
11,6,1,2,3,4,2,4,3,1,1,2,2,2,2,2,2,2,2,3,2,1,0,0,1,"mairie","bulletin de naissance",20000,,,,,1,1,3,3,2,2,2,2,3,3,2,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,
11,7,1,4,3,1,1,1,2,1,1,1,1,3,2,2,2,2,1,2,1,0,0,1,,,,,,,,,1,1,3,3,2,1,1,1,3,3,1,1,1,1,2,1,1,4,4,3,3,3,3,2,3,3,
11,8,1,3,3,3,4,4,2,1,1,3,3,2,2,2,2,2,2,3,2,0,0,1,,,,,,,,,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,4,3,3,3,3,3,2,3,3,
11,10,1,1,3,1,2,4,2,1,1,1,2,2,2,2,2,1,2,1,1,0,0,1,,,,,,,,,2,1,1,3,3,3,3,3,3,3,2,2,2,2,1,1,2,2,2,3,3,3,3,3,2,3,
11,12,1,4,3,2,1,4,2,1,1,1,1,2,2,2,2,2,3,2,2,0,0,1,,,,,,,,,2,1,2,2,1,1,1,1,4,4,1,3,1,1,2,1,3,3,4,3,3,3,3,2,3,3,
11,13,1,1,3,3,1,3,2,1,1,2,1,2,2,2,2,2,3,3,1,0,0,1,,,,,,,,,2,1,2,2,3,3,3,2,2,2,1,3,2,1,1,1,2,2,2,3,3,3,3,3,3,3,
11,14,1,1,2,3,2,4,2,1,1,2,2,4,2,2,2,2,2,2,1,0,0,1,,,,,,,,,1,1,2,2,2,3,3,3,4,4,1,2,2,1,1,1,3,2,3,3,3,3,3,3,3,3,
