"grappe","menage","vague","s13q00","s13q01","s13q02","s13q03","s13q04","s13q05","s13q06","s13q07","s13q08","s13q09"
156,11,2,1,2,,1,2,2,1,2,2,1
156,12,2,3,2,,2,,2,1,2,2,1
157,1,1,2,2,,2,,2,2,2,2,0
157,3,1,1,2,,1,2,2,2,2,2,0
157,4,1,1,2,,2,,2,2,2,2,0
157,5,1,1,1,1,2,,2,2,2,2,1
157,6,1,1,1,1,2,,2,1,2,2,1
157,7,1,4,1,2,1,2,2,1,2,2,1
157,8,1,2,1,1,2,,2,2,2,2,1
157,10,1,1,2,,1,2,2,2,2,2,0
157,11,1,1,2,,1,1,1,2,1,1,1
157,12,1,1,1,1,2,,1,1,2,2,1
157,13,1,1,1,1,2,,1,1,2,2,1
157,14,1,2,2,,1,2,1,2,2,2,1
158,1,2,2,2,,1,1,1,1,1,1,1
158,2,2,2,2,,2,,2,2,1,1,1
158,3,2,19,1,1,2,,1,2,2,2,1
158,4,2,2,1,2,2,,2,2,2,2,0
158,5,2,1,2,,1,1,2,2,1,1,1
158,6,2,1,2,,1,1,1,2,2,2,1
158,7,2,2,2,,2,,2,1,1,1,1
158,8,2,1,1,1,1,1,1,1,2,2,1
158,9,2,6,1,1,1,1,1,1,1,1,1
158,10,2,2,2,,2,,2,1,2,1,1
158,11,2,2,1,1,2,,1,2,2,2,1
158,12,2,12,2,,2,,1,1,1,1,1
159,1,1,2,2,,1,1,1,2,1,1,1
159,2,1,2,2,,2,,2,1,2,2,1
159,3,1,2,2,,2,,2,1,1,1,1
159,4,1,2,2,,1,2,2,1,2,2,1
159,5,1,7,2,,2,,2,1,2,2,1
159,6,1,6,2,,2,,2,2,1,1,1
159,7,1,1,2,,2,,2,2,1,1,1
159,8,1,7,2,,2,,2,1,1,2,1
159,9,1,2,2,,2,,2,2,2,2,0
159,10,1,1,2,,1,1,2,1,1,1,1
159,11,1,1,2,,2,,2,1,2,2,1
159,12,1,2,2,,2,,2,1,2,2,1
160,2,2,2,1,1,2,,2,2,2,2,1
160,3,2,1,1,2,1,2,1,2,1,1,1
160,4,2,1,1,1,2,,2,1,2,2,1
160,5,2,1,1,1,1,2,2,1,2,2,1
160,6,2,1,2,,1,1,1,1,1,1,1
160,7,2,4,2,,2,,2,1,2,2,1
160,8,2,3,2,,2,,2,2,1,2,1
160,10,2,1,1,1,1,2,1,1,1,1,1
160,11,2,1,1,1,2,,2,2,2,2,1
160,12,2,1,2,,2,,2,2,2,2,0
160,13,2,1,2,,2,,2,2,2,2,0
160,14,2,7,1,1,2,,2,1,2,2,1
161,1,1,1,1,2,1,2,2,1,1,1,1
161,3,1,1,1,1,1,1,1,1,1,1,1
161,4,1,1,2,,1,2,2,1,2,2,1
161,5,1,29,1,2,1,2,2,1,1,1,1
161,6,1,3,1,1,2,,1,1,2,2,1
161,7,1,14,2,,1,2,2,2,1,1,1
161,8,1,3,1,1,1,1,1,1,1,1,1
161,9,1,2,1,1,1,2,2,1,1,1,1
161,10,1,1,2,,1,2,2,1,1,1,1
161,11,1,8,1,1,1,1,1,1,1,1,1
161,12,1,2,2,,2,,2,2,2,2,0
161,13,1,3,2,,2,,2,2,2,2,0
162,1,2,1,2,,2,,2,1,2,2,1
162,2,2,1,1,1,2,,2,1,2,2,1
162,3,2,1,2,,2,,2,1,2,2,1
162,4,2,5,1,1,2,,1,1,1,1,1
162,5,2,3,1,1,2,,2,1,2,2,1
162,6,2,2,1,1,2,,1,2,2,2,1
162,7,2,1,2,,1,2,2,1,1,2,1
162,8,2,1,2,,1,2,2,2,2,2,0
162,9,2,4,2,,2,,2,2,2,2,0
162,10,2,3,2,,2,,2,1,2,2,1
162,11,2,1,1,1,2,,2,1,2,1,1
162,12,2,2,2,,2,,2,2,2,2,0
163,1,1,3,1,1,2,,2,2,2,2,1
163,2,1,10,1,1,1,1,1,1,1,1,1
163,3,1,1,1,1,1,1,1,2,2,2,1
163,4,1,1,2,,2,,2,1,2,2,1
163,5,1,1,1,1,2,,2,1,1,1,1
163,6,1,1,2,,2,,2,1,2,2,1
163,7,1,2,1,1,2,,2,2,2,2,1
163,8,1,9,2,,2,,1,1,1,1,1
163,9,1,2,2,,1,1,1,2,1,1,1
163,12,1,1,2,,2,,1,1,1,2,1
163,13,1,1,2,,2,,2,1,2,2,1
163,14,1,2,1,1,1,1,1,1,1,1,1
164,1,2,1,1,1,2,,2,1,1,1,1
164,2,2,1,2,,1,2,2,2,2,2,0
164,3,2,2,1,2,2,,2,2,2,2,0
164,4,2,3,2,,1,1,1,2,2,2,1
164,5,2,2,2,,2,,2,2,2,2,0
164,6,2,14,2,,2,,2,1,1,2,1
164,7,2,1,2,,2,,1,1,1,1,1
164,8,2,3,2,,2,,2,1,1,2,1
164,9,2,4,2,,2,,2,1,1,2,1
164,10,2,1,2,,2,,2,1,1,1,1
164,11,2,11,1,2,1,2,1,1,2,2,1
164,12,2,1,2,,2,,2,2,2,2,0
165,1,1,3,2,,1,1,1,1,1,1,1
165,2,1,1,2,,1,1,1,1,1,1,1
165,3,1,1,2,,2,,2,1,2,1,1
165,4,1,13,1,1,1,1,1,2,2,2,1
165,5,1,22,1,1,1,1,1,1,1,1,1
165,6,1,1,1,2,2,,2,2,2,2,0
165,7,1,1,2,,2,,2,2,1,2,1
165,8,1,2,2,,1,2,2,1,1,1,1
165,9,1,1,1,1,2,,1,2,2,1,1
165,10,1,1,1,2,1,2,2,1,1,2,1
165,11,1,1,2,,1,2,2,2,2,2,0
165,12,1,11,2,,1,2,2,1,1,1,1
166,1,2,1,2,,2,,2,1,1,2,1
166,2,2,4,1,1,2,,2,1,2,2,1
166,3,2,2,2,,2,,2,1,2,2,1
166,5,2,1,2,,2,,2,2,2,2,0
166,6,2,1,2,,1,1,1,1,2,1,1
166,7,2,2,1,1,2,,2,1,1,1,1
166,8,2,1,2,,2,,2,1,2,2,1
166,9,2,4,2,,1,2,2,2,2,2,0
166,10,2,12,1,1,2,,2,2,2,2,1
166,11,2,1,2,,2,,1,2,1,1,1
166,12,2,1,2,,2,,2,1,2,2,1
166,13,2,1,1,1,2,,2,2,2,2,1
167,1,1,1,2,,1,2,2,1,2,2,1
167,2,1,1,2,,1,2,2,1,1,1,1
167,3,1,1,2,,1,2,2,1,2,1,1
167,6,1,2,1,2,2,,2,2,2,2,0
167,7,1,7,2,,1,2,2,1,2,1,1
167,8,1,1,1,1,1,1,2,2,2,1,1
167,9,1,5,2,,1,2,2,2,2,2,0
167,11,1,1,1,1,1,1,2,1,2,2,1
167,12,1,10,1,1,1,2,1,1,1,1,1
167,13,1,2,2,,1,1,2,2,2,2,1
167,14,1,2,2,,1,2,2,1,1,1,1
167,15,1,1,1,2,1,2,2,2,2,2,0
168,1,2,2,2,,2,,2,1,1,2,1
168,2,2,5,2,,2,,2,1,2,2,1
168,3,2,8,2,,2,,2,2,2,2,0
168,4,2,1,2,,2,,2,1,2,2,1
168,5,2,9,2,,2,,2,1,2,2,1
168,6,2,9,2,,2,,2,1,2,2,1
168,7,2,2,2,,2,,2,2,2,2,0
168,8,2,1,2,,2,,2,2,2,2,0
168,9,2,1,2,,2,,2,1,2,2,1
168,10,2,2,2,,2,,2,1,1,1,1
168,11,2,1,2,,2,,2,2,2,2,0
168,12,2,2,1,1,2,,2,2,2,2,1
169,1,1,1,1,1,1,1,1,1,1,1,1
169,3,1,5,1,1,1,1,1,1,1,1,1
169,4,1,8,1,1,1,2,1,1,1,1,1
169,5,1,1,2,,2,,2,2,2,2,0
169,6,1,1,1,1,2,,1,2,2,2,1
169,9,1,3,1,1,1,2,1,1,1,1,1
169,10,1,1,2,,2,,2,1,2,2,1
169,11,1,2,1,2,1,2,2,1,1,1,1
169,12,1,1,2,,1,2,2,1,2,2,1
169,13,1,19,2,,2,,2,2,2,1,1
169,14,1,5,1,2,2,,2,1,1,1,1
169,15,1,1,1,1,1,2,1,1,1,2,1
170,1,2,1,2,,2,,2,2,1,2,1
170,2,2,1,2,,2,,2,2,2,2,0
170,3,2,5,1,1,2,,1,2,2,2,1
170,4,2,1,1,1,1,2,2,1,2,2,1
170,5,2,1,2,,2,,2,1,2,2,1
170,6,2,1,2,,2,,2,1,1,1,1
170,7,2,1,2,,2,,2,2,1,1,1
170,8,2,12,2,,1,2,2,2,2,2,0
170,9,2,7,2,,2,,2,2,2,2,0
170,10,2,1,2,,1,2,2,1,1,1,1
170,11,2,8,2,,2,,1,2,1,1,1
170,12,2,12,1,1,1,2,2,1,2,2,1
171,1,1,2,2,,2,,2,2,2,2,0
171,2,1,2,1,2,1,1,1,1,1,1,1
171,3,1,16,2,,1,2,2,1,1,1,1
171,4,1,2,2,,2,,2,1,2,2,1
171,5,1,11,2,,1,2,2,1,2,2,1
171,6,1,1,2,,1,2,2,1,1,1,1
171,7,1,2,1,1,2,,2,1,1,1,1
171,8,1,6,2,,2,,2,1,1,1,1
171,9,1,6,2,,2,,2,1,1,1,1
171,10,1,1,2,,1,2,2,1,1,1,1
171,11,1,2,2,,1,2,2,1,1,1,1
171,13,1,1,2,,2,,2,1,2,1,1
172,1,2,1,2,,2,,2,2,2,2,0
172,2,2,3,2,,2,,2,2,2,2,0
172,3,2,1,2,,2,,2,1,1,1,1
172,4,2,1,2,,2,,2,2,2,2,0
172,5,2,12,1,1,2,,2,1,2,2,1
172,6,2,2,2,,2,,2,1,2,2,1
172,7,2,1,1,1,2,,1,2,2,1,1
172,8,2,1,2,,1,2,2,1,2,2,1
172,9,2,5,2,,2,,2,1,1,1,1
172,10,2,1,2,,1,2,2,2,2,2,0
172,11,2,1,2,,1,2,2,2,2,2,0
172,12,2,1,2,,2,,2,1,1,1,1
173,1,1,1,2,,2,,2,2,2,2,0
173,3,1,1,1,1,2,,1,2,1,2,1
173,4,1,3,1,1,2,,2,1,2,2,1
173,5,1,2,1,1,2,,2,2,2,2,1
173,6,1,1,2,,2,,2,1,2,1,1
173,9,1,1,2,,2,,2,1,2,2,1
173,10,1,1,2,,2,,2,1,2,2,1
173,11,1,1,2,,2,,2,2,2,2,0
173,12,1,1,2,,2,,2,2,1,2,1
173,13,1,2,1,2,1,2,2,2,2,2,0
173,14,1,1,2,,2,,2,2,2,2,0
173,15,1,1,2,,2,,2,1,2,1,1
174,1,2,4,1,1,2,,1,1,2,2,1
174,2,2,11,1,1,2,,1,2,2,2,1
174,3,2,1,2,,1,2,2,2,2,2,0
174,4,2,1,2,,1,2,2,2,2,2,0
174,5,2,3,2,,2,,2,1,2,2,1
174,6,2,1,2,,2,,2,1,2,2,1
174,7,2,18,1,2,2,,1,2,2,2,1
174,8,2,1,2,,1,2,2,2,2,2,0
174,9,2,2,2,,1,1,1,2,2,2,1
174,10,2,1,2,,2,,2,1,2,1,1
174,11,2,1,2,,1,1,1,1,2,2,1
174,12,2,6,2,,2,,2,2,1,1,1
175,1,1,1,2,,2,,2,2,2,2,0
175,2,1,2,1,1,2,,2,2,2,2,1
175,3,1,3,1,2,2,,2,2,2,2,0
175,4,1,4,2,,2,,2,2,2,2,0
175,5,1,1,2,,2,,2,1,2,2,1
175,6,1,1,2,,2,,2,2,2,2,0
175,7,1,1,2,,2,,2,2,2,2,0
175,8,1,1,2,,2,,2,2,2,2,0
175,9,1,1,2,,2,,2,1,2,1,1
175,10,1,1,2,,2,,2,2,2,2,0
175,11,1,1,1,1,1,2,2,2,2,2,1
175,12,1,1,2,,2,,2,2,2,2,0
176,1,2,1,2,,2,,2,2,2,2,0
176,2,2,1,2,,2,,2,1,2,1,1
176,3,2,1,1,1,2,,2,2,2,2,1
176,4,2,1,1,1,1,1,1,1,1,1,1
176,5,2,1,2,,2,,2,2,1,1,1
176,6,2,1,2,,2,,2,2,2,2,0
176,7,2,2,2,,1,1,2,2,2,2,1
176,8,2,1,2,,1,2,2,1,1,1,1
176,9,2,4,1,1,2,,2,2,1,2,1
176,10,2,2,2,,1,2,2,2,2,2,0
176,11,2,1,1,2,1,2,2,1,2,1,1
176,12,2,2,1,2,2,,2,2,2,2,0
177,1,1,4,2,,2,,2,2,2,2,0
177,2,1,1,2,,2,,2,2,2,2,0
177,3,1,1,2,,2,,2,2,2,2,0
177,4,1,1,2,,2,,2,1,2,2,1
177,5,1,1,2,,2,,2,2,2,2,0
177,6,1,1,2,,2,,2,1,2,1,1
177,7,1,2,2,,2,,2,2,2,2,0
177,8,1,2,1,1,2,,1,2,2,2,1
177,9,1,1,2,,1,2,2,2,2,2,0
177,10,1,1,2,,2,,2,2,2,2,0
177,11,1,1,2,,2,,2,2,2,2,0
177,13,1,1,2,,2,,2,2,2,2,0
178,1,2,2,2,,2,,2,2,2,2,0
178,2,2,1,2,,2,,2,2,2,2,0
178,3,2,2,2,,2,,2,1,1,2,1
178,4,2,2,2,,2,,2,1,2,2,1
178,5,2,1,2,,2,,2,2,2,2,0
178,6,2,2,1,1,2,,2,2,1,2,1
178,7,2,1,2,,2,,1,2,2,2,1
178,8,2,2,2,,1,1,2,2,2,2,1
178,9,2,14,2,,2,,2,2,1,2,1
178,10,2,3,2,,2,,1,2,2,2,1
178,11,2,1,2,,2,,2,2,2,2,0
178,12,2,1,2,,2,,2,1,2,2,1
179,1,1,1,2,,2,,2,2,2,2,0
179,2,1,1,2,,2,,2,2,2,2,0
179,3,1,1,2,,2,,2,2,2,2,0
179,4,1,2,1,1,2,,1,2,2,2,1
179,5,1,2,2,,2,,2,2,2,2,0
179,6,1,1,1,2,2,,2,2,2,2,0
179,7,1,1,2,,2,,2,2,2,2,0
179,8,1,1,2,,1,2,2,1,1,1,1
179,9,1,6,2,,2,,2,1,2,2,1
179,10,1,1,2,,1,2,2,2,2,2,0
179,11,1,11,2,,2,,2,2,2,2,0
179,12,1,1,2,,2,,2,2,1,2,1
180,1,1,1,2,,2,,2,2,2,2,0
180,2,1,4,2,,2,,2,2,2,2,0
180,3,1,2,2,,2,,2,2,2,2,0
180,4,1,1,2,,1,1,2,2,2,2,1
180,5,1,1,2,,2,,2,2,2,2,0
180,6,1,1,1,2,2,,2,2,2,2,0
180,7,1,1,2,,2,,2,2,2,2,0
180,8,1,1,1,2,2,,2,2,2,2,0
180,9,1,1,2,,2,,2,1,2,2,1
180,10,1,2,2,,2,,2,1,2,1,1
180,11,1,1,1,1,1,1,2,2,1,2,1
180,12,1,1,2,,2,,2,2,2,2,0
181,1,2,1,2,,2,,2,2,2,2,0
181,2,2,2,2,,1,1,2,1,1,2,1
181,3,2,1,1,2,2,,2,2,2,2,0
181,4,2,3,2,,2,,2,2,2,2,0
181,5,2,1,2,,1,1,1,2,2,1,1
181,6,2,2,2,,2,,2,2,2,2,0
181,7,2,5,2,,2,,2,2,2,2,0
181,8,2,11,2,,2,,2,2,2,2,0
181,10,2,1,2,,2,,2,2,2,2,0
181,11,2,1,2,,2,,2,2,2,2,0
181,12,2,1,2,,2,,2,2,2,2,0
181,13,2,2,2,,2,,2,2,2,2,0
182,1,1,1,2,,2,,2,1,2,2,1
182,2,1,1,2,,2,,2,2,2,2,0
182,3,1,1,2,,2,,2,2,2,2,0
182,4,1,2,2,,2,,2,1,2,2,1
182,5,1,1,2,,2,,2,2,2,2,0
182,6,1,1,1,2,2,,2,2,2,2,0
182,7,1,5,2,,2,,2,2,2,2,0
182,8,1,1,2,,2,,2,2,2,2,0
182,9,1,4,2,,2,,2,2,2,2,0
182,10,1,1,2,,2,,2,2,2,2,0
182,11,1,1,2,,2,,2,2,2,2,0
182,12,1,1,2,,2,,2,2,2,2,0
183,1,2,22,2,,2,,2,1,2,2,1
183,2,2,1,2,,2,,2,1,2,2,1
183,3,2,2,2,,2,,2,1,2,2,1
183,4,2,2,2,,2,,2,1,2,2,1
183,5,2,2,2,,2,,2,2,2,2,0
183,6,2,1,1,1,2,,2,1,2,2,1
183,7,2,2,2,,2,,2,1,2,2,1
183,8,2,2,2,,2,,2,1,2,2,1
183,9,2,2,2,,2,,2,2,2,2,0
183,10,2,5,2,,1,1,2,1,2,2,1
183,11,2,4,2,,2,,2,2,2,2,0
183,12,2,1,2,,2,,2,1,2,2,1
184,1,1,1,2,,2,,2,2,2,2,0
184,2,1,1,2,,2,,2,2,2,2,0
184,3,1,17,2,,2,,1,2,2,2,1
184,4,1,12,2,,2,,2,2,1,2,1
184,5,1,1,1,1,2,,2,1,2,2,1
184,6,1,2,2,,2,,1,1,2,1,1
184,7,1,2,1,2,2,,2,1,2,2,1
184,8,1,14,1,1,2,,2,2,2,2,1
184,9,1,2,1,1,2,,2,2,2,2,1
184,10,1,1,2,,2,,2,2,2,2,0
184,11,1,1,1,1,2,,2,2,2,2,1
184,12,1,1,2,,2,,2,1,2,2,1
185,1,2,1,2,,2,,2,2,2,1,1
185,2,2,1,2,,2,,2,1,2,2,1
185,3,2,1,2,,2,,2,2,2,2,0
185,4,2,7,1,1,1,1,1,1,2,2,1
185,5,2,4,2,,2,,1,1,2,2,1
185,6,2,1,2,,2,,2,1,1,1,1
185,7,2,3,2,,2,,2,1,2,2,1
185,8,2,3,2,,2,,2,1,2,2,1
185,9,2,1,2,,1,1,2,2,2,2,1
185,10,2,3,2,,2,,2,2,2,2,0
185,11,2,13,2,,2,,2,1,1,2,1
185,12,2,2,2,,2,,2,1,2,2,1
186,1,1,1,2,,2,,1,2,2,1,1
186,2,1,1,2,,2,,2,2,2,2,0
186,3,1,1,2,,2,,1,2,2,2,1
186,4,1,16,2,,2,,1,1,1,1,1
186,5,1,2,2,,1,1,1,1,1,1,1
186,6,1,2,2,,2,,2,2,1,1,1
186,7,1,1,1,1,1,2,1,2,2,2,1
186,9,1,1,2,,2,,2,2,2,2,0
186,10,1,5,1,1,2,,1,1,2,1,1
186,11,1,1,2,,2,,2,1,1,1,1
186,12,1,1,2,,2,,2,2,2,2,0
186,13,1,9,2,,2,,2,1,1,1,1
187,1,2,2,2,,1,2,2,1,1,1,1
187,2,2,1,2,,2,,2,1,1,1,1
187,3,2,1,1,1,1,2,2,2,2,2,1
187,4,2,2,2,,2,,2,2,2,2,0
187,5,2,7,2,,2,,1,1,2,2,1
187,6,2,1,2,,2,,2,2,2,2,0
187,7,2,9,1,1,1,1,1,1,1,1,1
187,8,2,1,2,,1,2,2,1,2,1,1
187,9,2,2,1,1,2,,2,2,2,2,1
187,10,2,1,2,,2,,2,2,2,2,0
187,11,2,2,2,,2,,2,1,2,2,1
187,12,2,1,2,,2,,2,2,2,2,0
188,1,2,1,2,,2,,2,2,2,2,0
188,2,2,12,2,,2,,2,2,2,2,0
188,3,2,1,2,,2,,2,1,1,1,1
188,4,2,9,2,,2,,2,2,2,2,0
188,5,2,10,1,1,2,,2,2,2,2,1
188,6,2,1,2,,2,,2,2,2,2,0
188,7,2,1,2,,2,,2,2,2,2,0
188,8,2,1,2,,2,,2,1,1,1,1
188,9,2,18,2,,2,,2,1,2,2,1
188,10,2,22,2,,2,,2,1,2,2,1
188,11,2,1,2,,2,,2,2,2,2,0
188,12,2,2,2,,2,,2,2,2,2,0
189,1,1,8,2,,2,,1,2,2,2,1
189,2,1,1,2,,2,,2,2,2,2,0
189,3,1,2,1,1,1,1,1,1,1,2,1
189,4,1,1,1,1,1,2,1,1,1,2,1
189,5,1,3,2,,2,,2,2,2,2,0
189,6,1,21,1,1,2,,2,2,2,2,1
189,7,1,1,2,,2,,2,2,1,2,1
189,8,1,2,2,,2,,1,2,2,2,1
189,9,1,1,1,1,1,2,2,1,1,1,1
189,10,1,1,2,,2,,2,2,1,2,1
189,11,1,1,2,,2,,2,2,1,2,1
189,12,1,2,2,,2,,1,1,1,1,1
190,1,2,1,1,2,2,,2,1,1,1,1
190,2,2,1,2,,1,1,1,2,1,1,1
190,3,2,1,2,,2,,2,2,2,2,0
190,4,2,3,2,,2,,1,1,2,2,1
190,5,2,1,1,1,1,1,1,1,1,1,1
190,6,2,1,2,,2,,2,1,2,2,1
190,7,2,1,2,,2,,2,2,2,2,0
190,8,2,9,2,,2,,2,1,2,2,1
190,9,2,1,1,1,2,,2,2,2,2,1
190,10,2,1,2,,2,,2,2,2,2,0
190,11,2,2,2,,2,,2,1,1,2,1
190,12,2,1,2,,1,1,2,2,2,2,1
191,1,1,1,1,1,2,,1,1,2,1,1
191,2,1,1,2,,2,,1,2,1,2,1
191,3,1,1,2,,2,,2,1,1,1,1
191,4,1,2,1,2,1,2,1,1,2,1,1
191,5,1,1,2,,2,,2,2,2,2,0
191,6,1,3,2,,2,,2,1,2,1,1
191,7,1,1,2,,2,,1,1,1,2,1
191,8,1,14,2,,2,,1,1,2,2,1
191,9,1,1,1,2,2,,2,2,2,2,0
191,10,1,3,2,,2,,1,2,2,2,1
191,11,1,1,1,1,1,2,2,2,2,2,1
191,12,1,2,2,,2,,2,1,1,1,1
192,1,2,1,2,,2,,2,1,1,1,1
192,2,2,4,1,2,2,,2,2,2,2,0
192,3,2,6,2,,2,,2,1,1,2,1
192,5,2,2,2,,2,,2,2,2,2,0
192,6,2,1,2,,2,,2,1,2,2,1
192,7,2,1,2,,2,,2,2,2,2,0
192,8,2,1,2,,1,2,2,2,1,1,1
192,9,2,4,1,1,2,,2,1,2,2,1
192,10,2,9,1,1,2,,2,2,1,2,1
192,11,2,2,1,2,2,,2,1,2,2,1
192,12,2,13,2,,2,,2,2,2,2,0
192,13,2,2,1,1,2,,2,1,2,2,1
193,1,1,1,2,,2,,2,2,2,2,0
193,2,1,1,2,,2,,2,2,2,2,0
193,3,1,2,2,,2,,1,2,2,2,1
193,4,1,1,1,1,2,,2,1,2,2,1
193,5,1,1,2,,2,,2,2,2,2,0
193,6,1,1,2,,2,,2,1,1,2,1
193,7,1,2,2,,2,,2,2,2,2,0
193,8,1,1,2,,2,,2,2,2,2,0
193,9,1,1,2,,2,,2,1,2,2,1
193,10,1,1,2,,2,,2,1,2,2,1
193,11,1,1,2,,2,,2,1,1,1,1
193,13,1,2,2,,2,,2,2,2,2,0
194,1,2,1,2,,2,,2,1,2,2,1
194,2,2,2,2,,2,,2,2,1,2,1
194,4,2,2,2,,2,,2,2,2,2,0
194,5,2,12,2,,2,,2,2,2,2,0
194,6,2,1,1,1,2,,1,2,2,2,1
194,7,2,1,2,,2,,2,2,2,2,0
194,8,2,1,1,2,1,2,2,2,2,2,0
194,11,2,4,2,,2,,2,2,2,2,0
194,12,2,2,2,,2,,2,2,2,2,0
194,13,2,1,2,,1,2,2,2,2,2,0
194,14,2,1,2,,2,,2,2,2,2,0
194,15,2,2,2,,2,,2,2,2,2,0
195,1,1,1,2,,2,,2,2,2,2,0
195,2,1,1,2,,2,,2,2,2,2,0
195,3,1,1,2,,2,,2,2,2,2,0
195,4,1,2,2,,2,,2,1,2,2,1
195,5,1,1,2,,2,,2,2,2,2,0
195,6,1,1,2,,2,,2,2,2,2,0
195,7,1,1,2,,2,,2,2,2,2,0
195,8,1,1,2,,2,,2,2,2,2,0
195,9,1,1,2,,2,,2,1,2,2,1
195,10,1,3,2,,2,,2,2,2,2,0
195,11,1,1,2,,2,,2,2,2,2,0
195,12,1,2,2,,2,,2,2,2,2,0
196,1,2,1,2,,2,,2,2,2,2,0
196,2,2,10,1,1,2,,1,1,2,2,1
196,3,2,1,2,,1,1,1,1,1,2,1
196,4,2,2,1,1,2,,2,2,2,2,1
196,5,2,1,2,,2,,2,1,2,2,1
196,6,2,1,2,,2,,2,2,2,2,0
196,7,2,4,2,,2,,2,2,1,2,1
196,8,2,2,2,,2,,2,2,2,2,0
196,9,2,2,2,,2,,2,2,2,2,0
196,10,2,1,1,1,1,1,1,1,2,2,1
196,11,2,1,1,1,2,,2,1,2,1,1
196,12,2,1,1,1,1,1,1,1,1,1,1
197,1,1,1,2,,2,,1,2,1,2,1
197,2,1,10,2,,2,,2,2,1,1,1
197,3,1,1,2,,2,,2,1,1,2,1
197,4,1,2,1,1,2,,1,1,1,1,1
197,5,1,7,2,,2,,2,1,2,2,1
197,6,1,1,1,1,1,1,1,1,1,1,1
197,7,1,19,2,,2,,2,2,2,2,0
197,8,1,7,1,1,2,,1,1,1,1,1
197,9,1,3,1,2,2,,2,1,2,1,1
197,10,1,1,2,,2,,1,1,1,1,1
197,11,1,6,1,1,2,,2,1,1,1,1
197,12,1,9,2,,2,,1,2,2,2,1
198,1,2,1,2,,1,2,1,1,2,2,1
198,2,2,1,2,,1,1,1,1,2,1,1
198,3,2,1,1,2,1,2,2,2,2,2,0
198,4,2,2,1,1,1,2,2,2,2,2,1
198,5,2,1,2,,2,,2,1,1,2,1
198,6,2,1,2,,2,,2,1,1,2,1
198,7,2,1,1,2,2,,2,1,1,2,1
198,8,2,1,2,,2,,2,2,2,2,0
198,9,2,1,2,,2,,2,2,2,2,0
198,10,2,1,1,1,2,,1,2,2,2,1
198,11,2,1,2,,2,,2,2,2,2,0
198,12,2,2,2,,2,,2,2,2,2,0
199,1,1,1,2,,2,,2,2,1,2,1
199,2,1,1,2,,2,,2,1,2,2,1
199,3,1,1,2,,2,,2,2,1,2,1
199,4,1,1,2,,2,,2,2,2,2,0
199,5,1,1,2,,2,,2,2,2,2,0
199,6,1,2,1,2,2,,2,1,2,2,1
199,8,1,1,2,,2,,2,1,2,2,1
199,9,1,1,2,,2,,2,2,2,2,0
199,10,1,1,2,,2,,2,2,2,2,0
199,11,1,2,2,,2,,2,2,2,2,0
199,12,1,1,2,,2,,2,2,2,2,0
199,13,1,1,2,,2,,2,1,2,2,1
200,1,1,1,2,,2,,2,2,2,2,0
200,2,1,2,1,1,2,,2,2,2,2,1
200,3,1,2,2,,2,,2,2,2,2,0
200,4,1,1,2,,2,,1,1,2,2,1
200,6,1,25,1,2,2,,1,2,2,2,1
200,7,1,2,2,,1,1,1,1,1,1,1
200,8,1,2,2,,2,,2,1,1,2,1
200,9,1,5,2,,2,,2,2,2,2,0
200,10,1,1,1,1,2,,1,1,2,1,1
200,11,1,1,2,,2,,2,1,1,1,1
200,12,1,1,2,,2,,2,2,2,2,0
200,13,1,1,2,,1,2,2,1,2,2,1
201,1,2,1,1,1,2,,2,1,2,2,1
201,2,2,7,2,,2,,2,1,2,2,1
201,3,2,2,1,1,2,,2,1,2,2,1
201,4,2,1,2,,2,,2,2,2,2,0
201,5,2,1,1,1,2,,2,2,1,2,1
201,7,2,2,2,,2,,2,2,2,2,0
201,8,2,1,1,2,2,,2,1,2,2,1
201,9,2,1,1,1,2,,2,2,2,2,1
201,10,2,1,2,,2,,2,1,2,2,1
201,11,2,3,1,1,2,,2,1,2,2,1
201,12,2,1,2,,1,1,2,1,1,2,1
201,13,2,1,2,,2,,2,1,2,2,1
202,1,1,8,1,1,2,,2,2,2,2,1
202,2,1,7,1,1,2,,1,2,2,1,1
202,3,1,9,2,,2,,2,1,2,2,1
202,4,1,2,2,,2,,2,2,2,2,0
202,5,1,2,2,,2,,2,2,2,2,0
202,6,1,2,2,,2,,2,2,2,1,1
202,7,1,1,1,2,2,,1,2,1,2,1
202,8,1,2,1,1,2,,2,2,1,1,1
202,9,1,2,2,,2,,2,2,2,2,0
202,10,1,40,2,,2,,2,1,2,2,1
202,11,1,1,1,1,2,,1,1,2,1,1
202,12,1,2,1,1,2,,1,2,2,2,1
203,1,2,1,2,,2,,2,2,2,1,1
203,2,2,1,1,2,1,2,2,1,2,2,1
203,3,2,1,2,,2,,2,2,2,2,0
203,4,2,1,2,,2,,2,1,2,1,1
203,6,2,3,2,,2,,1,2,2,2,1
203,7,2,1,2,,2,,2,2,2,2,0
203,8,2,1,2,,2,,2,2,2,1,1
203,9,2,2,2,,1,2,2,1,2,1,1
203,10,2,1,2,,2,,2,2,2,2,0
203,11,2,1,2,,2,,2,1,2,2,1
203,12,2,1,2,,1,2,2,2,2,1,1
203,13,2,1,2,,2,,2,1,2,2,1
204,1,1,4,2,,1,1,1,1,2,2,1
204,4,1,1,2,,1,2,2,1,2,2,1
