"grappe","menage","vague","s13q00","s13q01","s13q02","s13q03","s13q04","s13q05","s13q06","s13q07","s13q08","s13q09"
11,8,1,2,1,1,2,,2,2,2,2,1
11,10,1,1,1,1,1,1,2,1,1,2,1
11,12,1,5,2,,2,,2,2,2,2,0
11,13,1,1,2,,2,,2,2,2,2,0
11,14,1,2,1,1,2,,2,1,1,2,1
11,15,1,3,1,1,2,,2,1,2,2,1
12,1,2,1,1,1,2,,1,2,2,2,1
12,2,2,2,2,,2,,1,2,2,2,1
12,3,2,2,1,2,1,1,1,1,1,1,1
12,5,2,18,2,,2,,2,2,2,2,0
12,6,2,1,2,,1,2,2,2,2,2,0
12,7,2,2,2,,2,,2,1,1,2,1
12,8,2,2,1,1,2,,2,2,2,2,1
12,9,2,1,1,2,1,1,1,2,2,2,1
12,11,2,2,2,,2,,2,2,1,1,1
12,13,2,1,2,,2,,2,2,2,2,0
12,14,2,1,2,,2,,2,2,2,2,0
12,15,2,1,1,1,1,2,1,1,1,1,1
13,1,1,6,2,,2,,2,2,2,2,0
13,3,1,1,1,2,2,,1,2,2,2,1
13,6,1,1,1,1,1,2,1,2,2,2,1
13,7,1,2,1,1,1,2,2,1,1,1,1
13,8,1,1,2,,2,,2,1,1,1,1
13,10,1,1,1,1,1,2,2,2,2,2,1
13,11,1,1,1,1,1,2,2,2,2,2,1
13,12,1,1,2,,2,,2,2,2,2,0
13,13,1,2,1,1,2,,1,2,2,2,1
13,14,1,1,2,,1,1,1,2,2,2,1
13,15,1,2,1,1,2,,1,2,2,2,1
13,16,1,1,2,,2,,2,1,1,1,1
14,1,2,1,2,,1,1,1,1,1,1,1
14,2,2,1,2,,1,1,1,2,1,1,1
14,3,2,1,2,,1,2,2,2,1,1,1
14,4,2,1,2,,1,2,1,1,1,2,1
14,5,2,1,1,1,2,,2,2,2,2,1
14,6,2,1,2,,2,,2,2,2,2,0
14,7,2,2,2,,2,,2,2,2,2,0
14,8,2,4,1,1,2,,1,2,2,2,1
14,9,2,7,2,,2,,2,2,2,2,0
14,10,2,1,2,,2,,2,2,2,2,0
14,11,2,3,1,1,1,1,1,2,2,2,1
14,12,2,1,2,,1,1,1,1,1,1,1
15,1,1,2,2,,2,,2,2,2,2,0
15,2,1,1,2,,2,,2,2,2,2,0
15,3,1,4,1,1,1,1,2,1,1,1,1
15,5,1,2,2,,2,,2,2,2,2,0
15,6,1,1,2,,2,,2,2,2,2,0
15,7,1,1,1,2,2,,1,2,2,2,1
15,8,1,1,1,1,2,,2,2,2,2,1
15,9,1,1,2,,2,,2,2,2,2,0
15,12,1,1,2,,2,,2,2,2,2,0
15,13,1,2,2,,2,,2,2,2,2,0
15,14,1,1,1,2,1,2,2,2,2,2,0
15,15,1,1,2,,2,,1,1,2,2,1
16,1,2,1,1,1,2,,1,2,2,2,1
16,2,2,1,2,,2,,2,2,2,2,0
16,3,2,1,1,1,2,,2,2,2,2,1
16,4,2,1,2,,2,,2,2,2,2,0
16,5,2,4,1,1,1,1,1,2,1,1,1
16,6,2,1,1,2,1,2,2,2,2,2,0
16,7,2,2,2,,2,,2,2,2,2,0
16,8,2,1,1,1,1,2,1,2,2,2,1
16,9,2,1,1,2,2,,1,2,2,2,1
16,10,2,6,1,1,2,,1,1,2,1,1
16,11,2,1,2,,2,,2,1,2,1,1
16,12,2,6,1,2,2,,1,2,2,2,1
17,1,1,2,2,,2,,2,2,2,2,0
17,2,1,1,1,1,2,,1,1,1,1,1
17,4,1,4,1,1,1,2,2,1,1,1,1
17,5,1,1,1,2,2,,1,2,2,2,1
17,6,1,5,1,1,1,1,2,2,1,1,1
17,7,1,2,1,1,1,1,1,2,1,1,1
17,8,1,10,1,1,2,,1,1,2,2,1
17,10,1,2,1,1,2,,2,2,2,2,1
17,12,1,4,2,,2,,2,1,2,1,1
17,13,1,2,1,1,2,,1,1,2,2,1
17,14,1,1,1,1,1,2,2,1,1,1,1
17,15,1,1,2,,1,1,1,1,1,1,1
18,1,2,1,2,,1,1,1,1,1,1,1
18,2,2,1,2,,2,,2,2,2,2,0
18,3,2,5,2,,2,,2,2,2,2,0
18,4,2,3,1,2,1,1,1,1,1,1,1
18,5,2,1,1,2,1,2,2,1,1,1,1
18,6,2,2,2,,2,,2,2,2,2,0
18,7,2,3,2,,2,,2,2,2,2,0
18,8,2,1,2,,1,1,1,2,1,1,1
18,9,2,1,1,1,2,,1,2,2,2,1
18,10,2,1,2,,2,,2,2,2,2,0
