"grappe","menage","vague","s20bq02","s20bq02a","s20bq02b"
4,2,2,9,1,3
4,2,2,1,1,2
4,2,2,8,1,1
4,2,2,6,1,1
4,3,2,4,1,2
4,3,2,8,1,2
4,3,2,6,1,3
4,3,2,5,1,3
4,3,2,7,1,1
4,3,2,2,1,3
4,3,2,9,1,2
4,3,2,3,1,3
4,3,2,1,1,3
4,4,2,9,1,3
4,4,2,2,1,3
4,4,2,3,1,4
4,4,2,4,1,3
4,4,2,8,1,3
4,4,2,1,1,3
4,4,2,6,1,3
4,4,2,7,1,3
4,4,2,5,1,3
4,5,2,2,1,3
4,5,2,3,1,3
4,5,2,4,1,2
4,5,2,6,1,3
4,5,2,5,1,3
4,5,2,7,1,1
4,5,2,9,1,2
4,5,2,1,1,3
4,5,2,8,1,2
4,7,2,2,1,2
4,7,2,4,1,2
4,7,2,3,1,2
4,7,2,6,1,2
4,7,2,8,1,2
4,7,2,5,1,2
4,7,2,1,1,2
4,7,2,9,1,2
4,7,2,7,1,2
4,8,2,8,1,3
4,8,2,5,2,2
4,8,2,2,1,3
4,8,2,7,1,2
4,8,2,9,2,2
4,8,2,6,2,1
4,8,2,3,1,2
4,8,2,1,1,1
4,8,2,4,1,2
4,9,2,9,1,1
4,9,2,5,1,2
4,9,2,7,1,1
4,9,2,3,1,2
4,9,2,4,1,2
4,9,2,8,1,1
4,9,2,2,1,2
4,9,2,6,1,1
4,9,2,1,1,2
4,11,2,5,1,2
4,11,2,4,1,3
4,11,2,3,1,4
4,11,2,1,1,1
4,11,2,9,1,2
4,11,2,8,2,1
4,11,2,7,1,3
4,11,2,6,1,3
4,11,2,2,1,2
4,12,2,1,1,3
4,12,2,7,2,3
4,12,2,6,2,1
4,12,2,5,1,2
4,12,2,4,2,1
4,12,2,9,1,2
4,12,2,2,1,3
4,12,2,3,1,3
4,12,2,8,2,3
4,13,2,1,1,2
4,13,2,7,1,1
4,13,2,9,1,3
4,13,2,4,1,2
4,13,2,3,1,3
4,13,2,5,1,3
4,13,2,6,1,2
4,13,2,8,1,2
4,13,2,2,1,3
5,2,1,9,1,2
5,2,1,3,1,3
5,2,1,5,1,3
5,2,1,4,1,2
5,2,1,2,1,3
5,2,1,1,1,3
5,2,1,8,1,1
5,2,1,7,1,1
5,2,1,6,1,1
5,4,1,9,1,2
5,4,1,6,1,2
5,4,1,3,1,3
5,4,1,2,1,4
5,4,1,8,1,2
5,4,1,4,1,2
5,4,1,7,1,1
5,4,1,1,1,2
5,4,1,5,1,3
5,5,1,9,1,2
5,5,1,5,1,1
5,5,1,2,1,3
5,5,1,1,1,3
5,5,1,8,1,1
5,5,1,7,1,1
5,5,1,3,1,3
5,5,1,6,1,1
5,5,1,4,1,1
5,6,1,7,1,1
5,6,1,3,1,3
5,6,1,8,1,2
5,6,1,9,1,3
5,6,1,5,1,2
5,6,1,2,1,2
5,6,1,6,1,1
5,6,1,1,1,3
5,6,1,4,1,2
5,7,1,4,1,1
5,7,1,9,1,1
5,7,1,3,1,3
5,7,1,2,1,3
5,7,1,1,1,3
5,7,1,7,1,1
5,7,1,5,1,2
5,7,1,6,1,1
5,7,1,8,1,1
5,9,1,6,1,2
5,9,1,4,1,2
5,9,1,5,1,3
5,9,1,8,1,2
5,9,1,7,1,1
5,9,1,1,1,2
5,9,1,3,1,4
5,9,1,9,1,3
5,9,1,2,1,3
5,10,1,8,1,1
5,10,1,1,1,2
5,10,1,5,1,3
5,10,1,3,1,3
5,10,1,7,1,1
5,10,1,9,1,3
5,10,1,4,1,2
5,10,1,6,1,1
5,10,1,2,1,2
5,11,1,6,1,2
5,11,1,5,1,3
5,11,1,1,1,3
5,11,1,3,1,3
5,11,1,2,1,3
5,11,1,7,1,1
5,11,1,8,1,2
5,11,1,9,1,3
5,11,1,4,1,2
5,12,1,4,1,1
5,12,1,8,1,2
5,12,1,6,1,1
5,12,1,1,1,2
5,12,1,2,1,2
5,12,1,7,1,1
5,12,1,5,1,2
5,12,1,3,1,3
5,12,1,9,1,1
5,13,1,9,1,3
5,13,1,3,1,3
5,13,1,7,1,2
5,13,1,1,1,2
5,13,1,4,1,2
5,13,1,6,1,2
5,13,1,8,1,2
5,13,1,5,1,3
5,13,1,2,1,2
5,14,1,2,1,2
5,14,1,6,1,1
5,14,1,5,1,2
5,14,1,9,1,2
5,14,1,4,1,1
5,14,1,1,1,2
5,14,1,7,1,1
5,14,1,3,1,3
5,14,1,8,1,1
5,15,1,8,1,1
5,15,1,9,1,2
5,15,1,5,1,3
5,15,1,2,1,3
5,15,1,1,1,3
5,15,1,6,1,1
5,15,1,3,1,3
5,15,1,4,1,1
5,15,1,7,1,1
6,2,2,2,1,3
6,2,2,8,1,2
6,2,2,9,1,1
6,2,2,1,1,3
6,2,2,6,1,1
6,2,2,5,1,2
6,2,2,3,1,3
6,2,2,7,1,1
6,2,2,4,1,2
6,3,2,5,1,2
6,3,2,2,1,2
6,3,2,9,1,2
6,3,2,4,1,2
6,3,2,1,1,2
6,3,2,6,1,2
6,3,2,7,1,2
6,3,2,8,1,2
6,3,2,3,1,2
6,4,2,5,1,2
6,4,2,8,1,2
6,4,2,6,1,1
6,4,2,1,1,2
6,4,2,3,1,2
6,4,2,9,1,2
6,4,2,7,1,1
6,4,2,4,1,2
6,4,2,2,1,2
6,5,2,3,1,3
6,5,2,5,2,2
6,5,2,8,2,4
6,5,2,4,2,1
6,5,2,6,2,3
6,5,2,7,2,3
6,5,2,1,1,3
