"grappe","menage","vague","membres__id","s04q50","s04q51b","s04q51c","s04q51d","s04q51dbis","s04q52b","s04q52c","s04q52d","s04q52dbis","s04q53","s04q54","s04q55","s04q56","s04q57","s04q59","s04q60","s04q60_unite","s04q61","s04q62","s04q62_unite","s04q63","s04q64","s04q64_unite","s04q64_controle__0","s04q28b","s04q58","s04q58_unite"
4,2,2,1,1,5,11,441,,6,52,523,,3,12,30,6,9,,,,,,,,,,,,,
5,10,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
6,5,2,3,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
6,14,2,13,1,11,18,997,,17,93,930,,3,5,3,2,9,,,,,,,,,,,,,
7,2,1,1,1,5,11,437,,6,52,523,,3,5,10,5,9,,,,,,,,,,,,,
7,14,1,1,1,9,16,532,,17,93,930,,3,12,7,2,9,,,,,,,,,,,,,
7,16,1,1,1,11,18,997,,18,95,950,,3,6,10,1,9,,,,,,,,,,,,,
9,9,1,5,1,2,6,116,,12,80,802,,3,12,8,7,9,,,,,,,,,,,,,
9,10,1,4,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
9,13,1,1,1,11,18,997,,17,93,930,,3,11,26,5,9,,,,,,,,,,,,,
9,14,1,1,1,12,19,998,,6,52,524,,3,11,15,5,9,,,,,,,,,,,,,
10,13,2,2,1,7,14,470,,5,45,452,,3,1,7,8,4,2,,,2,,,2,,,,,25000,1
11,3,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
11,4,1,4,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
11,8,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
11,13,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
12,5,2,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
13,13,1,2,1,5,11,445,,6,52,523,,3,9,20,5,9,,,,,,,,,,,,,
14,11,2,3,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
16,10,2,6,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
17,6,1,15,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
17,8,1,3,1,5,11,430,,6,52,526,,3,12,26,8,9,,,,,,,,,,,,,
18,5,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
19,1,1,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
19,2,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
19,14,1,1,1,9,16,534,,14,90,900,,1,12,20,5,4,2,,,2,,,2,,,,,100000,2
21,11,1,2,1,5,10,415,,7,55,552,,3,2,30,4,9,,,,,,,,,,,,,
21,15,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
23,1,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
23,7,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
23,17,1,3,1,7,14,499,,3,18,180,,3,12,15,4,10,,,,,,,,,,,,,
24,4,2,3,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
25,6,1,2,1,9,16,533,,6,51,518,,3,12,12,3,5,2,,,2,,,2,,,,,20000,2
25,12,1,4,1,7,14,475,,5,45,456,,3,12,6,6,9,,,,,,,,,,,,,
25,15,1,2,1,5,11,430,,6,50,501,,3,9,30,4,9,,,,,,,,,,,,,
26,2,2,1,1,5,11,430,,6,52,524,,3,2,26,8,5,2,,,2,,,1,3000,1,1,,35000,2
26,15,2,1,1,5,11,430,,6,52,526,,3,12,30,1,10,,,,,,,,,,,,,
26,17,2,2,1,5,10,415,,7,55,552,,3,12,7,4,9,,,,,,,,,,,,,
27,3,1,1,1,7,14,514,,4,40,401,,3,12,8,4,9,,,,,,,,,,,,,
27,4,1,1,1,11,18,997,,17,93,930,,3,12,30,5,9,,,,,,,,,,,,,
28,2,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
29,12,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
29,19,1,1,1,9,16,534,,14,90,900,,3,2,5,8,5,2,,,1,1000,1,2,,,,,15000,1
30,1,2,8,1,11,18,997,,16,92,921,,3,4,8,2,4,2,,,2,,,2,,,,,400000,2
30,17,2,1,1,5,11,430,,6,52,524,,3,12,5,2,10,,,,,,,,,,,,,
30,17,2,2,1,5,11,436,,7,55,552,,3,11,15,4,9,,,,,,,,,,,2,,
31,3,1,2,1,11,18,997,,17,93,930,,3,12,26,5,9,,,,,,,,,,,9,,
31,4,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
32,3,2,2,1,9,16,533,,7,55,551,,3,12,24,2,5,2,,,2,,,2,,,,,35000,2
32,4,2,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
32,4,2,8,1,5,10,423,,17,93,930,,3,11,30,3,9,,,,,,,,,,,,,
32,7,2,2,1,5,10,404,,3,25,251,,3,9,20,3,5,2,,,2,,,1,5000,1,2,,40000,2
32,9,2,1,1,2,6,116,,12,80,804,,3,12,15,4,9,,,,,,,,,,,,,
32,9,2,6,1,5,11,430,,6,52,524,,3,4,15,3,9,,,,,,,,,,,,,
33,10,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
33,10,1,5,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
33,14,1,2,1,5,11,445,,6,52,526,,3,6,26,9,9,,,,,,,,,,,,,
34,5,2,1,1,2,6,117,,12,80,801,,3,11,20,4,9,,,,,,,,,,,,,
34,12,2,1,1,5,11,445,,6,52,526,,3,2,30,2,9,,,,,,,,,,,,,
34,12,2,7,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
36,4,2,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
37,4,1,1,1,9,16,545,,14,90,900,,5,12,2,5,9,,,,,,,,,,,,,
37,5,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
37,5,1,5,1,7,14,475,,5,45,456,,3,12,10,7,3,2,,,2,,,2,,,,,175000,2
37,11,1,16,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
37,12,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
38,4,2,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
38,8,2,6,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
39,9,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
39,13,1,3,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
39,13,1,6,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
40,2,2,22,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
40,4,2,1,1,7,14,497,,3,20,201,,3,6,3,3,5,2,,,2,,,2,,,,,75000,2
40,4,2,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
40,7,2,1,1,5,11,445,,6,52,523,,3,12,30,4,9,,,,,,,,,,,,,
40,9,2,5,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
41,5,1,9,1,5,11,436,,7,55,552,,3,1,15,5,4,2,,,2,,,1,30000,2,9,4,65000,2
43,8,1,4,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
43,11,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
44,2,2,2,1,5,11,429,,6,52,526,,3,1,29,4,9,,,,,,,,,,,2,,
45,3,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
46,11,2,2,1,5,11,445,,6,52,523,,3,12,26,6,9,,,,,,,,,,,,,
47,9,1,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
49,3,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
52,12,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
53,2,1,1,1,5,11,436,,6,52,523,,3,10,30,5,9,,,,,,,,,,,2,,
53,2,1,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
53,12,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
54,2,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
55,1,1,11,1,5,11,437,,6,52,523,,3,2,30,5,9,,,,,,,,,,,,,
55,6,1,12,1,7,14,470,,5,45,452,,3,9,8,10,4,2,,,2,,,2,,,,,36000,2
55,8,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
55,11,1,6,1,6,13,455,,1,5,51,,3,4,20,6,8,2,,,2,,,2,,,,,75000,2
55,12,1,1,1,6,13,455,,1,5,52,,3,3,15,4,9,,,,,,,,,,,,,
56,10,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
57,13,1,5,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
57,15,1,2,1,11,18,997,,17,93,930,,3,12,4,3,9,,,,,,,,,,,,,
58,1,2,8,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
58,7,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
59,5,1,6,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
59,6,1,12,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
59,7,1,1,1,6,13,452,,1,3,33,,3,12,30,1,9,,,,,,,,,,,,,
59,12,1,1,1,9,16,545,,6,52,523,,3,12,5,3,4,2,,,2,,,2,,,,,40000,2
60,2,2,1,1,6,13,452,,1,3,31,,3,12,30,2,9,,,,,,,,,,,,,
62,5,2,2,1,9,16,536,,17,93,930,,3,6,15,10,9,,,,,,,,,,,,,
62,17,2,1,1,7,14,484,,3,28,281,,3,12,25,2,10,,,,,,,,,,,,,
62,17,2,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
63,3,1,8,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
63,4,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
63,10,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
64,1,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
64,1,2,3,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
64,2,2,11,1,6,13,447,,1,1,18,,3,3,30,1,4,2,,,2,,,2,,,,,20300,3
64,4,2,18,1,9,16,542,,5,45,452,,4,6,13,5,4,2,,,2,,,2,,,,,78000,2
64,6,2,2,1,9,16,541,,1,2,23,,3,3,20,4,4,2,,,2,,,2,,,,,30000,2
64,8,2,1,1,6,13,446,,1,1,,,3,,,,9,,,,,,,,,,,,,
64,8,2,2,1,5,10,418,,8,63,633,,3,12,24,6,9,,,,,,,,,,,,,
64,11,2,1,1,7,14,476,,5,45,452,,3,3,9,5,5,2,,,2,,,2,,,,,75000,3
64,12,2,11,1,11,18,997,,17,93,930,,3,5,10,5,9,,,,,,,,,,,,,
65,1,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
65,9,1,3,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
65,13,1,11,1,11,18,997,,6,52,521,,3,3,3,2,9,,,,,,,,,,,2,,
65,14,1,1,1,6,13,453,,1,3,34,,3,12,30,1,9,,,,,,,,,,,,,
66,4,1,8,1,6,13,452,,1,3,33,,3,12,30,2,9,,,,,,,,,,,,,
66,6,1,1,1,5,11,432,,6,52,524,,3,7,30,3,9,,,,,,,,,,,,,
66,8,1,2,1,5,11,437,,6,52,522,,3,10,30,8,9,,,,,,,,,,,,,
66,11,1,16,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
66,12,1,5,1,6,13,452,,1,3,31,,3,12,15,3,9,,,,,,,,,,,,,
66,13,1,1,1,6,13,456,,1,5,51,,3,2,30,6,4,2,,,2,,,2,,,,,80000,2
67,1,2,1,1,6,13,452,,1,3,32,,3,12,30,2,9,,,,,,,,,,,,,
67,7,2,3,1,5,11,445,,17,93,930,,3,12,30,3,5,2,,,2,,,2,,,,,150000,2
67,8,2,1,1,2,5,207,,13,85,851,,3,12,20,2,9,,,,,,,,,,,,,
67,10,2,2,1,11,18,997,,3,18,180,,3,12,20,4,10,,,,,,,,,,,,,
67,11,2,1,1,6,13,452,,1,3,32,,3,12,30,2,9,,,,,,,,,,,,,
68,1,1,4,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
68,8,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
68,9,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
68,9,1,2,1,5,11,430,,17,93,930,,3,6,7,12,9,,,,,,,,,,,,,
68,9,1,8,1,5,11,430,,17,93,930,,3,4,7,2,8,,,,,,,,,,,,,
69,2,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
69,2,2,9,1,11,18,997,,6,52,523,,3,9,30,3,9,,,,,,,,,,,,,
69,3,2,7,1,2,4,71,,3,22,223,,3,12,20,2,9,,,,,,,,,,,,,
69,8,2,4,1,5,11,436,,3,15,159,,3,9,12,2,9,,,,,,,,,,,,,
69,12,2,1,1,11,18,997,,16,92,921,,2,12,1,3,2,2,,,2,,,2,,,,,200000,2
69,13,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
69,15,2,2,1,3,9,283,,15,91,911,,1,6,10,2,1,2,,,2,,,2,,,,,0,
70,4,1,3,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
70,4,1,7,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
70,6,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
70,8,1,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
70,8,1,5,1,5,11,430,,17,93,930,,3,12,8,6,9,,,,,,,,,,,,,
70,10,1,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
70,13,1,1,1,6,13,452,,1,3,33,,4,6,30,5,9,,,,,,,,,,,,,
70,13,1,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
70,14,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
71,2,2,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
71,6,2,4,1,5,10,418,,8,60,602,,3,6,6,3,9,,,,,,,,,,,,,
71,13,2,1,1,11,18,997,,17,93,930,,3,11,24,8,9,,,,,,,,,,,,,
72,3,1,4,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
72,4,1,2,1,5,11,430,,6,51,511,,3,12,6,1,9,,,,,,,,,,,,,
72,12,1,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
72,14,1,5,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
72,16,1,1,1,12,19,998,,6,52,521,,3,10,10,3,9,,,,,,,,,,,,,
72,17,1,1,1,6,13,446,,1,1,11,,3,3,8,5,8,,,,,,,,,,,,,
72,17,1,5,1,9,16,542,,5,45,452,,3,1,6,5,4,2,,,2,,,2,,,,,18000,1
73,1,2,3,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
73,6,2,9,1,3,9,295,,13,85,852,,3,10,12,3,4,2,,,2,,,2,,,,,90000,2
73,8,2,2,1,5,11,430,,3,15,155,,3,12,1,1,9,,,,,,,,,,,,,
73,9,2,3,1,6,13,453,,1,3,34,,3,12,30,1,9,,,,,,,,,,,,,
73,13,2,3,1,9,16,542,,5,45,456,,3,6,10,6,4,2,,,2,,,2,,,,,364000,4
73,15,2,1,1,5,11,429,,6,52,526,,3,7,15,5,9,,,,,,,,,,,,,
74,1,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
74,1,1,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
74,1,1,3,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
74,1,1,4,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
74,1,1,7,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
74,2,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
74,3,1,1,1,6,13,453,,1,3,34,,3,12,30,1,9,,,,,,,,,,,,,
74,4,1,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
74,6,1,2,1,6,13,463,,1,1,18,,3,6,12,4,9,,,,,,,,,,,,,
74,7,1,7,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
74,9,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
74,9,1,5,1,11,18,997,,17,93,930,,3,1,15,4,3,2,,,2,,,2,,,,,300000,2
75,2,2,1,1,6,13,452,,1,3,31,,3,12,10,3,9,,,,,,,,,,,,,
75,3,2,3,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
75,3,2,4,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
75,4,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
75,5,2,2,1,5,11,433,,3,15,153,,3,12,30,3,9,,,,,,,,,,,,,
75,6,2,1,1,2,4,84,,5,45,452,,3,4,3,1,3,2,,,2,,,2,,,,,90000,2
75,7,2,1,1,5,11,445,,9,65,654,,3,2,7,5,9,,,,,,,,,,,,,
75,8,2,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
75,9,2,1,1,6,13,455,,1,5,51,,3,12,24,3,9,,,,,,,,,,,,,
75,9,2,2,1,6,13,452,,1,3,31,,3,12,30,3,9,,,,,,,,,,,,,
75,10,2,1,1,6,13,452,,1,3,32,,3,12,30,2,9,,,,,,,,,,,,,
75,11,2,1,1,5,11,445,,6,52,521,,3,3,30,4,9,,,,,,,,,,,,,
75,11,2,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
75,11,2,4,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
75,11,2,5,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
75,12,2,1,1,7,14,482,,17,93,930,,3,2,5,1,9,,,,,,,,,,,,,
76,4,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
76,5,2,2,1,5,11,436,,3,15,159,,3,12,30,2,9,,,,,,,,,,,,,
76,6,2,1,1,5,10,405,,7,55,552,,3,12,1,6,9,,,,,,,,,,,,,
76,11,2,1,1,2,4,54,,12,80,802,,3,10,26,4,9,,,,,,,,,,,,,
77,2,1,8,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
77,3,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
77,6,1,2,1,7,14,479,,5,45,454,,5,2,2,1,5,2,,,2,,,2,,,,,25000,2
77,9,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
77,13,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
77,15,1,3,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
78,2,2,2,1,5,11,445,,3,15,159,,3,12,5,3,9,,,,,,,,,,,,,
78,5,2,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
78,7,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
78,10,2,2,1,7,14,471,,3,20,202,,3,1,4,6,9,,,,,,,,,,,,,
79,13,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
80,5,2,2,1,6,13,447,,1,1,18,,4,12,8,4,9,,,,,,,,,,,,,
80,5,2,5,1,7,14,482,,5,45,456,,3,5,10,5,4,2,,,2,,,2,,,,,26000,1
80,8,2,5,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
80,8,2,8,1,5,11,436,,6,52,523,,3,2,30,2,9,,,,,,,,,,,,,
80,12,2,1,1,7,14,481,,5,45,453,,3,12,8,6,10,,,,,,,,,,,,,
80,15,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
82,5,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
82,8,2,8,1,5,11,432,,6,52,524,,3,2,30,6,9,,,,,,,,,,,,,
82,9,2,4,1,9,16,545,,3,18,180,,3,12,8,7,9,,,,,,,,,,,,,
82,9,2,6,1,2,5,156,,13,85,851,,1,12,16,4,4,2,,,2,,,2,,,,,0,
82,16,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
83,8,1,2,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
84,11,2,5,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
84,13,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
84,13,2,6,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
84,13,2,7,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
84,16,2,7,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
85,2,1,20,1,5,11,445,,6,51,513,,3,6,10,2,9,,,,,,,,,,,,,
85,2,1,26,1,5,11,436,,3,15,158,,3,12,30,2,9,,,,,,,,,,,,,
85,8,1,1,1,2,6,120,,12,80,803,,6,6,15,4,2,2,,,1,60000,2,1,25000,1,1,,,2
85,14,1,2,1,6,13,463,,17,93,930,,3,6,15,4,8,,,,,,,,,,,,,
86,1,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
86,1,2,2,1,5,11,435,,6,52,522,,3,6,30,5,9,,,,,,,,,,,,,
86,6,2,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
86,6,2,2,1,11,18,997,,10,71,713,,3,11,30,4,9,,,,,,,,,,,,,
86,15,2,1,1,7,14,482,,17,93,930,,3,12,8,8,9,,,,,,,,,,,,,
87,1,1,1,1,6,13,446,,1,1,12,,3,3,23,8,9,,,,,,,,,,,,,
87,3,1,1,1,9,16,542,,5,45,452,,3,2,30,7,4,2,,,2,,,2,,,,,60000,2
87,4,1,6,1,5,11,409,,6,52,523,,3,10,15,2,9,,,,,,,,,,,,,
87,7,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
87,7,1,3,1,7,14,501,,3,18,180,,3,1,15,6,9,,,,,,,,,,,,,
87,12,1,1,1,6,13,,,1,3,,,3,,,,9,,,,,,,,,,,,,
88,2,2,2,1,6,13,453,,1,3,34,,3,12,30,1,9,,,,,,,,,,,,,
88,2,2,5,1,7,14,470,,5,45,452,,3,5,20,4,6,2,,,2,,,2,,,,,40000,2
88,3,2,1,1,6,13,446,,1,1,15,,3,4,30,8,9,,,,,,,,,,,,,
88,3,2,2,1,6,13,446,,1,1,19,,3,12,30,1,8,,,,,,,,,,,,,
88,4,2,1,1,6,13,446,,1,1,15,,3,3,30,4,9,,,,,,,,,,,,,
88,4,2,3,1,5,10,418,,8,60,602,,3,8,15,6,9,,,,,,,,,,,,,
88,4,2,4,1,6,13,453,,1,3,34,,3,6,30,2,9,,,,,,,,,,,,,
88,5,2,1,1,6,13,446,,1,3,32,,4,12,30,2,9,,,,,,,,,,,,,
88,8,2,1,1,6,13,446,,1,1,14,,3,6,30,5,8,,,,,,,,,,,,,
88,8,2,7,1,6,13,446,,1,1,14,,3,6,30,5,8,,,,,,,,,,,,,
88,9,2,1,1,6,13,446,,1,1,11,,3,6,30,7,9,,,,,,,,,,,,,
88,9,2,2,1,6,13,446,,1,1,11,,3,6,30,7,8,,,,,,,,,,,,,
88,9,2,4,1,6,13,446,,1,1,11,,3,6,30,7,8,,,,,,,,,,,,,
88,9,2,7,1,6,13,446,,1,1,11,,3,6,30,7,8,,,,,,,,,,,,,
88,10,2,1,1,6,13,453,,1,3,34,,3,12,30,1,9,,,,,,,,,,,,,
88,10,2,6,1,6,13,453,,1,3,34,,3,12,30,1,9,,,,,,,,,,,,,
88,10,2,13,1,6,13,453,,1,3,34,,3,12,30,1,9,,,,,,,,,,,,,
88,10,2,17,1,6,13,446,,1,1,15,,3,6,30,5,8,,,,,,,,,,,,,
88,11,2,1,1,6,13,446,,1,1,14,,3,6,20,5,9,,,,,,,,,,,,,
88,12,2,1,1,6,13,455,,1,5,51,,3,12,20,6,8,,,,,,,,,,,,,
88,12,2,15,1,6,13,446,,1,1,19,,3,12,30,4,8,,,,,,,,,,,,,
90,2,2,1,1,6,13,452,,1,3,32,,3,12,30,4,8,,,,,,,,,,,,,
90,2,2,2,1,6,13,453,,1,3,34,,3,12,30,4,9,,,,,,,,,,,,,
90,3,2,1,1,6,13,446,,1,1,11,,3,4,20,6,8,,,,,,,,,,,,,
90,3,2,2,1,6,13,453,,1,3,34,,3,12,30,1,9,,,,,,,,,,,,,
90,4,2,1,1,6,13,446,,1,1,15,,3,3,30,3,9,,,,,,,,,,,,,
90,4,2,2,1,6,13,452,,1,3,32,,3,12,30,2,9,,,,,,,,,,,,,
90,5,2,3,1,6,13,453,,1,3,34,,3,12,30,1,8,,,,,,,,,,,,,
90,6,2,16,1,9,16,542,,5,45,452,,3,5,24,6,3,2,,,2,,,2,,,,,125000,2
90,6,2,19,1,6,13,452,,1,3,33,,3,12,30,1,9,,,,,,,,,,,,,
90,6,2,24,1,5,11,432,,6,52,524,,3,12,15,4,9,,,,,,,,,,,,,
90,7,2,1,1,6,13,453,,1,3,34,,3,12,30,2,8,,,,,,,,,,,,,
90,7,2,3,1,6,13,453,,1,3,34,,3,12,30,1,8,,,,,,,,,,,,,
90,7,2,21,1,11,18,997,,17,93,930,,3,9,26,5,4,2,,,2,,,2,,,,,30000,2
90,11,2,4,1,6,13,453,,1,3,34,,3,12,30,1,9,,,,,,,,,,,,,
90,12,2,1,1,6,13,453,,1,3,34,,3,12,30,1,9,,,,,,,,,,,,,
90,12,2,2,1,6,13,446,,1,1,18,,3,3,30,6,8,,,,,,,,,,,,,
90,12,2,7,1,6,13,446,,1,1,18,,3,3,30,6,8,,,,,,,,,,,,,
90,12,2,10,1,6,13,446,,1,1,18,,3,3,30,6,8,,,,,,,,,,,,,
90,13,2,1,1,6,13,452,,1,3,33,,3,12,30,2,9,,,,,,,,,,,,,
91,3,1,8,1,6,13,446,,1,1,12,,3,4,30,7,5,2,,,2,,,2,,,,,0,
92,1,2,1,1,5,11,437,,6,52,523,,3,12,20,2,9,,,,,,,,,,,,,
92,2,2,1,1,6,13,446,,1,1,12,,3,6,30,6,9,,,,,,,,,,,,,
92,2,2,2,1,6,13,446,,1,1,12,,3,6,30,7,8,,,,,,,,,,,,,
92,3,2,2,1,6,13,446,,1,1,12,,3,3,30,5,8,,,,,,,,,,,,,
92,5,2,1,1,6,13,452,,1,3,32,,3,12,30,4,9,,,,,,,,,,,,,
92,8,2,1,1,6,13,446,,1,1,12,,3,6,30,6,8,,,,,,,,,,,,,
92,8,2,24,1,6,13,446,,1,1,12,,3,6,30,7,8,,,,,,,,,,,,,
92,9,2,14,1,6,13,446,,1,1,12,,3,3,29,5,8,,,,,,,,,,,,,
92,9,2,16,1,6,13,446,,1,1,12,,3,3,29,3,8,,,,,,,,,,,,,
92,11,2,2,1,6,13,452,,1,3,32,,3,12,30,2,9,,,,,,,,,,,,,
92,11,2,6,1,6,13,452,,1,3,32,,3,12,30,3,9,,,,,,,,,,,,,
92,12,2,1,1,6,13,446,,1,1,12,,3,3,29,6,9,,,,,,,,,,,,,
92,12,2,2,1,6,13,446,,1,1,12,,3,3,30,4,8,,,,,,,,,,,,,
93,4,1,18,1,6,13,446,,1,1,11,,3,3,30,7,8,,,,,,,,,,,,,
