"vague","grappe","menage","poids","poids_nonlisse"
1,442,11,120.698703555063,103.806245949656
2,426,7,150.706324236837,143.212843760289
2,428,3,144.893500272642,99.2384179710996
2,424,8,142.254747907385,99.8892688043151
2,428,6,144.893500272642,99.2384179710996
2,443,1,131.986195696331,118.003360526691
2,439,8,152.261299259868,132.952181847039
2,426,4,172.564408183903,187.767950707935
1,421,5,139.174747361769,95.1591688582358
1,440,12,150.389757875492,136.39514792751
2,424,2,142.254747907385,99.8892688043151
1,440,3,150.389757875492,136.39514792751
1,438,13,431.821292583499,709.536572375077
2,443,14,175.667060329818,209.034524361567
2,443,16,175.667060329818,209.034524361567
1,423,10,124.873657073967,107.590031697787
2,422,14,234.103579637201,320.035817001041
1,423,14,169.271757979621,197.696683244684
1,442,15,172.043122183177,210.907928278665
2,422,15,234.103579637201,320.035817001041
1,425,4,218.703704300081,157.406132669559
2,422,10,139.319496570396,113.346018521202
1,440,9,187.475174867398,211.958059879351
2,422,9,139.319496570396,113.346018521202
2,422,6,139.319496570396,113.346018521202
2,439,1,211.449856908405,256.407779276433
2,439,10,152.261299259868,132.952181847039
1,442,5,120.698703555063,103.806245949656
2,439,4,152.261299259868,132.952181847039
1,425,8,218.703704300081,157.406132669559
2,441,10,83.289120443428,62.9346680176844
1,427,11,236.284987180576,239.188190585949
2,424,6,142.254747907385,99.8892688043151
1,423,13,169.271757979621,197.696683244684
1,421,7,139.174747361769,95.1591688582358
1,421,11,139.174747361769,95.1591688582358
1,421,3,139.174747361769,95.1591688582358
1,427,9,236.284987180576,239.188190585949
2,443,12,131.986195696331,118.003360526691
1,427,8,236.284987180576,239.188190585949
1,427,10,236.284987180576,239.188190585949
1,429,1,183.226926016639,118.128473738322
1,442,14,172.043122183177,210.907928278665
1,421,2,139.174747361769,95.1591688582358
2,428,11,144.893500272642,99.2384179710996
2,439,2,152.261299259868,132.952181847039
2,422,3,139.319496570396,113.346018521202
2,443,9,131.986195696331,118.003360526691
2,437,1,118.016172506376,104.694474160615
1,438,4,191.115093132659,138.981390465221
2,439,7,152.261299259868,132.952181847039
1,440,6,150.389757875492,136.39514792751
1,421,6,342.088773442276,574.919978518508
1,449,2,279.116928463771,291.313422596388
2,448,12,168.363257914946,117.001165119574
2,431,4,227.119362018399,237.043733075029
1,445,8,264.335882544474,275.886493459543
1,453,2,321.591243664779,335.643726034969
2,454,8,357.574357478343,373.199183879818
2,433,9,232.094915052307,242.23670145425
1,436,2,259.77836732819,271.129829779206
1,447,3,139.968072630372,97.018586822853
2,456,5,255.745142077329,186.722435647572
2,450,6,284.221150072252,296.640681944795
2,448,10,168.363257914946,117.001165119574
1,430,3,230.846401308129,153.428611204257
2,446,9,202.162738843549,157.106457381235
2,444,7,214.907558426048,224.298313726434
2,433,4,232.094915052307,242.23670145425
1,430,10,230.846401308129,153.428611204257
2,446,7,202.162738843549,157.106457381235
1,445,1,264.335882544474,275.886493459543
1,455,7,231.198700656444,172.099509158654
1,455,11,231.198700656444,172.099509158654
1,434,12,261.304338157251,272.722480527559
1,434,4,261.304338157251,272.722480527559
2,446,14,433.284128524572,721.667873336568
2,433,3,232.094915052307,242.23670145425
1,453,3,321.591243664779,335.643726034969
2,431,8,227.119362018399,237.043733075029
1,432,5,228.960638066615,154.030292032509
1,453,8,321.591243664779,335.643726034969
1,445,6,264.335882544474,275.886493459543
1,451,4,214.90588052922,163.545513322817
1,436,1,259.77836732819,271.129829779206
1,430,5,230.846401308129,153.428611204257
1,434,5,261.304338157251,272.722480527559
2,433,8,232.094915052307,242.23670145425
1,451,11,214.90588052922,163.545513322817
1,434,9,261.304338157251,272.722480527559
1,453,7,321.591243664779,335.643726034969
1,430,11,230.846401308129,153.428611204257
2,454,10,357.574357478343,373.199183879818
1,453,6,321.591243664779,335.643726034969
2,456,12,255.745142077329,186.722435647572
2,431,3,227.119362018399,237.043733075029
2,431,9,227.119362018399,237.043733075029
1,455,12,231.198700656444,172.099509158654
1,432,3,228.960638066615,154.030292032509
2,450,8,284.221150072252,296.640681944795
2,435,3,243.698816391523,173.619534707968
2,444,5,214.907558426048,224.298313726434
2,446,12,202.162738843549,157.106457381235
1,445,12,264.335882544474,275.886493459543
1,434,1,261.304338157251,272.722480527559
2,435,10,243.698816391523,173.619534707968
1,451,12,214.90588052922,163.545513322817
1,445,10,264.335882544474,275.886493459543
1,434,8,261.304338157251,272.722480527559
2,452,3,238.334843916009,248.749294739249
1,436,6,259.77836732819,271.129829779206
2,454,1,357.574357478343,373.199183879818
2,435,5,243.698816391523,173.619534707968
2,433,12,232.094915052307,242.23670145425
1,447,4,139.968072630372,97.018586822853
2,448,6,168.363257914946,117.001165119574
2,435,2,243.698816391523,173.619534707968
1,451,8,214.90588052922,163.545513322817
2,452,7,238.334843916009,248.749294739249
1,434,11,261.304338157251,272.722480527559
2,456,8,255.745142077329,186.722435647572
2,444,1,214.907558426048,224.298313726434
2,431,7,227.119362018399,237.043733075029
1,445,11,264.335882544474,275.886493459543
2,450,11,284.221150072252,296.640681944795
1,447,9,139.968072630372,97.018586822853
2,446,4,202.162738843549,157.106457381235
1,432,10,768.810138729421,1736.69154266653
1,445,7,264.335882544474,275.886493459543
1,449,10,279.116928463771,291.313422596388
1,436,11,259.77836732819,271.129829779206
2,446,5,202.162738843549,157.106457381235
1,430,8,230.846401308129,153.428611204257
2,456,10,255.745142077329,186.722435647572
2,444,8,214.907558426048,224.298313726434
2,450,2,284.221150072252,296.640681944795
1,449,1,279.116928463771,291.313422596388
2,448,9,168.363257914946,117.001165119574
2,452,11,238.334843916009,248.749294739249
1,432,7,228.960638066615,154.030292032509
1,434,3,261.304338157251,272.722480527559
2,433,1,232.094915052307,242.23670145425
1,436,4,259.77836732819,271.129829779206
2,433,11,232.094915052307,242.23670145425
2,444,9,214.907558426048,224.298313726434
2,431,10,227.119362018399,237.043733075029
2,448,8,168.363257914946,117.001165119574
2,431,6,227.119362018399,237.043733075029
2,456,3,255.745142077329,186.722435647572
1,447,8,139.968072630372,97.018586822853
2,435,8,243.698816391523,173.619534707968
2,435,4,243.698816391523,173.619534707968
1,432,6,228.960638066615,154.030292032509
2,450,1,284.221150072252,296.640681944795
2,454,6,357.574357478343,373.199183879818
2,444,4,214.907558426048,224.298313726434
2,452,2,238.334843916009,248.749294739249
1,455,4,231.198700656444,172.099509158654
1,447,6,139.968072630372,97.018586822853
1,453,11,321.591243664779,335.643726034969
1,430,12,230.846401308129,153.428611204257
1,449,11,279.116928463771,291.313422596388
2,431,11,227.119362018399,237.043733075029
2,444,12,214.907558426048,224.298313726434
2,444,3,214.907558426048,224.298313726434
1,436,7,259.77836732819,271.129829779206
1,455,3,231.198700656444,172.099509158654
2,435,9,243.698816391523,173.619534707968
1,451,2,214.90588052922,163.545513322817
1,432,8,228.960638066615,154.030292032509
1,453,12,321.591243664779,335.643726034969
1,436,12,259.77836732819,271.129829779206
1,445,4,264.335882544474,275.886493459543
2,450,5,284.221150072252,296.640681944795
2,446,3,202.162738843549,157.106457381235
1,451,13,475.23411444322,799.755532183006
1,451,10,214.90588052922,163.545513322817
1,436,9,259.77836732819,271.129829779206
1,434,7,261.304338157251,272.722480527559
1,455,9,231.198700656444,172.099509158654
1,449,9,279.116928463771,291.313422596388
1,447,12,351.636889418767,612.330425029482
1,449,12,279.116928463771,291.313422596388
2,454,9,357.574357478343,373.199183879818
1,451,9,214.90588052922,163.545513322817
2,456,1,255.745142077329,186.722435647572
2,450,3,284.221150072252,296.640681944795
1,447,11,139.968072630372,97.018586822853
2,450,7,284.221150072252,296.640681944795
2,456,14,599.775522448893,1026.97339606164
2,454,3,357.574357478343,373.199183879818
1,445,9,264.335882544474,275.886493459543
1,434,6,261.304338157251,272.722480527559
1,455,5,231.198700656444,172.099509158654
1,430,1,230.846401308129,153.428611204257
2,450,10,284.221150072252,296.640681944795
2,435,7,243.698816391523,173.619534707968
2,454,5,357.574357478343,373.199183879818
1,436,10,259.77836732819,271.129829779206
2,454,7,357.574357478343,373.199183879818
1,449,3,279.116928463771,291.313422596388
2,444,6,214.907558426048,224.298313726434
1,436,8,259.77836732819,271.129829779206
2,452,8,238.334843916009,248.749294739249
2,452,12,238.334843916009,248.749294739249
1,453,1,321.591243664779,335.643726034969
2,454,12,357.574357478343,373.199183879818
2,452,5,238.334843916009,248.749294739249
1,455,2,527.785040783777,896.856597023969
2,450,9,284.221150072252,296.640681944795
2,448,2,541.725394097378,1211.30618006148
2,448,5,168.363257914946,117.001165119574
1,451,5,214.90588052922,163.545513322817
2,448,3,168.363257914946,117.001165119574
1,455,6,231.198700656444,172.099509158654
2,448,1,168.363257914946,117.001165119574
1,445,5,264.335882544474,275.886493459543
1,455,10,231.198700656444,172.099509158654
2,446,13,433.284128524572,721.667873336568
1,447,5,139.968072630372,97.018586822853
2,456,4,255.745142077329,186.722435647572
2,456,6,255.745142077329,186.722435647572
2,446,11,202.162738843549,157.106457381235
1,445,3,264.335882544474,275.886493459543
1,451,3,214.90588052922,163.545513322817
2,446,1,202.162738843549,157.106457381235
1,447,1,139.968072630372,97.018586822853
1,430,9,230.846401308129,153.428611204257
1,432,2,228.960638066615,154.030292032509
2,456,7,255.745142077329,186.722435647572
2,433,2,232.094915052307,242.23670145425
1,447,2,139.968072630372,97.018586822853
2,456,11,255.745142077329,186.722435647572
2,435,13,757.833954510013,1678.95813783529
2,431,12,227.119362018399,237.043733075029
2,454,11,357.574357478343,373.199183879818
1,432,12,228.960638066615,154.030292032509
1,449,7,279.116928463771,291.313422596388
2,433,7,232.094915052307,242.23670145425
1,449,5,279.116928463771,291.313422596388
2,435,1,243.698816391523,173.619534707968
1,432,11,228.960638066615,154.030292032509
2,446,2,202.162738843549,157.106457381235
2,444,10,214.907558426048,224.298313726434
2,433,10,232.094915052307,242.23670145425
1,432,9,228.960638066615,154.030292032509
1,432,1,228.960638066615,154.030292032509
2,450,12,284.221150072252,296.640681944795
1,430,4,230.846401308129,153.428611204257
1,432,4,228.960638066615,154.030292032509
2,433,6,232.094915052307,242.23670145425
1,453,9,321.591243664779,335.643726034969
2,454,4,357.574357478343,373.199183879818
1,451,1,214.90588052922,163.545513322817
2,452,10,238.334843916009,248.749294739249
2,452,1,238.334843916009,248.749294739249
2,454,2,357.574357478343,373.199183879818
1,451,14,475.23411444322,799.755532183006
2,452,9,238.334843916009,248.749294739249
1,447,10,351.636889418767,612.330425029482
1,445,2,264.335882544474,275.886493459543
1,449,6,279.116928463771,291.313422596388
2,448,11,168.363257914946,117.001165119574
2,435,12,243.698816391523,173.619534707968
1,455,13,527.785040783777,896.856597023969
1,453,5,321.591243664779,335.643726034969
2,433,5,232.094915052307,242.23670145425
2,450,4,284.221150072252,296.640681944795
2,431,5,227.119362018399,237.043733075029
2,448,4,168.363257914946,117.001165119574
1,430,2,787.202185423505,1784.15556457521
1,455,8,231.198700656444,172.099509158654
1,453,4,321.591243664779,335.643726034969
1,434,2,261.304338157251,272.722480527559
2,444,11,214.907558426048,224.298313726434
2,444,2,214.907558426048,224.298313726434
1,447,7,139.968072630372,97.018586822853
2,452,4,238.334843916009,248.749294739249
2,431,1,227.119362018399,237.043733075029
1,434,10,261.304338157251,272.722480527559
1,449,4,279.116928463771,291.313422596388
1,436,5,259.77836732819,271.129829779206
1,430,7,230.846401308129,153.428611204257
2,448,7,168.363257914946,117.001165119574
1,449,8,279.116928463771,291.313422596388
2,435,11,243.698816391523,173.619534707968
2,431,2,227.119362018399,237.043733075029
1,430,6,230.846401308129,153.428611204257
1,436,3,259.77836732819,271.129829779206
2,456,13,599.775522448893,1026.97339606164
1,453,10,321.591243664779,335.643726034969
2,452,6,238.334843916009,248.749294739249
2,446,6,202.162738843549,157.106457381235
2,46,11,630.954488935745,400.81544755299
2,48,11,532.389191765166,342.473967650775
2,46,13,2318.27482321667,5411.00854196537
2,6,13,787.866956093108,1251.10205306154
2,38,8,593.777475952788,777.184347515221
2,82,14,1028.75161395973,1396.08056418334
1,37,3,686.973003492382,564.849054177241
1,33,5,454.661442400642,363.703856893339
1,39,4,767.286925435251,565.543681005237
1,37,1,686.973003492382,564.849054177241
1,39,14,1815.73226696166,3167.04461362933
2,60,8,745.503355737991,488.74254993178
2,26,6,437.296036587197,436.034204452023
1,63,3,658.675089967271,479.783455850892
2,44,7,636.879158122434,416.52097342332
1,39,1,767.286925435251,565.543681005237
2,12,14,635.475641165145,636.739956831452
1,47,2,564.270539827493,541.936040879159
2,48,5,532.389191765166,342.473967650775
1,83,7,476.960314146968,299.925799415648
2,22,12,545.776484290401,380.008028661683
1,59,6,694.93855255794,737.061026883875
1,47,5,564.270539827493,541.936040879159
2,76,6,2388.7405313497,1498.81977259807
2,84,3,641.581945059661,500.071696706979
1,63,2,658.675089967271,479.783455850892
1,61,4,760.779972503376,568.045420891359
1,41,3,604.855917855704,542.324447445692
1,11,13,318.995789546729,439.552617434141
1,61,3,760.779972503376,568.045420891359
2,40,7,809.172463784676,621.013120523435
2,84,11,641.581945059661,500.071696706979
1,3,5,429.925525048257,433.547984644581
1,41,13,869.419253025333,1120.50505670597
1,25,9,620.833156132704,806.972955194454
2,36,11,556.763404506368,469.682228866737
1,15,3,452.348748955094,373.015412565068
1,51,14,977.920293464877,1393.56163959747
2,58,2,746.749325318474,491.622940930649
1,53,12,410.847657495515,392.830968960243
2,36,6,556.763404506368,469.682228866737
1,65,11,1025.92609563825,695.783841050828
1,3,13,429.925525048257,433.547984644581
2,34,8,557.447019354399,425.452988805108
2,12,11,718.681186698612,814.398265774549
1,45,9,837.544265731116,911.599071549976
1,3,4,429.925525048257,433.547984644581
2,82,15,1028.75161395973,1396.08056418334
1,13,8,564.665108765212,468.700303147162
2,80,17,1169.65589351273,1550.83445319026
2,80,3,620.593233802782,436.579446906502
2,46,4,630.954488935745,400.81544755299
1,39,8,767.286925435251,565.543681005237
1,85,7,562.542531716358,440.206574217853
1,79,13,1107.58968205027,1493.4067483487
2,40,1,809.172463784676,621.013120523435
1,51,1,565.73971107612,466.393613252379
2,44,6,636.879158122434,416.52097342332
2,80,15,1169.65589351273,1550.83445319026
2,52,14,1736.82669141735,3133.46313753291
2,44,4,636.879158122434,416.52097342332
2,4,5,235.235960805284,208.558934845872
2,76,9,2388.7405313497,1498.81977259807
1,57,2,438.084526333817,367.984227901968
1,27,11,356.408566904299,339.282059994165
1,33,14,776.348578582848,1060.43775142395
1,43,10,730.728564281636,454.141290742008
2,48,1,532.389191765166,342.473967650775
2,54,5,503.024376330459,342.943090901913
2,24,12,514.097389733761,498.948257982891
2,78,7,563.723860737104,394.456065669608
2,16,12,737.976641423095,782.707793576136
1,53,9,410.847657495515,392.830968960243
1,43,3,730.728564281636,454.141290742008
2,82,7,616.52606974832,501.409216713735
2,60,4,745.503355737991,488.74254993178
2,62,17,763.591595504243,854.893809471231
1,77,7,777.435165142899,586.439152000338
2,12,7,635.475641165145,636.739956831452
2,42,12,846.789737381576,542.330890122913
2,54,3,503.024376330459,342.943090901913
1,21,15,791.582652285176,844.500625637679
2,24,9,514.097389733761,498.948257982891
2,12,13,635.475641165145,636.739956831452
2,14,2,754.994970680231,800.757658836802
1,47,7,564.270539827493,541.936040879159
1,13,6,564.665108765212,468.700303147162
1,23,7,660.947900492806,628.941013807325
1,85,14,1075.99205499013,1610.51185689458
1,53,11,410.847657495515,392.830968960243
1,15,14,801.099754230097,1169.91197577226
2,6,5,285.789382446009,164.618691192308
1,41,14,869.419253025333,1120.50505670597
2,22,5,545.776484290401,380.008028661683
1,31,9,695.477220918297,642.566023437224
1,57,15,753.776123296575,1089.42699049925
2,14,11,754.994970680231,800.757658836802
1,63,4,658.675089967271,479.783455850892
1,41,9,604.855917855704,542.324447445692
1,41,8,869.419253025333,1120.50505670597
1,49,11,505.481258936516,447.912644127533
2,84,5,641.581945059661,500.071696706979
1,45,13,800.150014019165,832.01502562101
2,2,1,290.067804639795,258.686220607833
2,46,9,630.954488935745,400.81544755299
1,81,14,1801.8633046515,2213.52295692745
2,40,12,809.172463784676,621.013120523435
2,40,2,809.172463784676,621.013120523435
2,56,2,691.319041065934,548.167876241122
2,18,9,413.520104024509,251.432424564377
2,38,13,593.777475952788,777.184347515221
2,48,10,532.389191765166,342.473967650775
1,35,1,657.966870501397,608.528733617387
2,48,12,532.389191765166,342.473967650775
2,48,13,1493.43020672575,2694.87712249791
1,37,2,686.973003492382,564.849054177241
1,55,8,533.999802689224,417.139890056908
1,49,3,505.481258936516,447.912644127533
2,58,3,746.749325318474,491.622940930649
1,23,8,660.947900492806,628.941013807325
1,63,8,658.675089967271,479.783455850892
2,26,18,489.9970982735,547.465167811985
2,84,13,1134.74883532558,1564.32684610901
1,57,12,438.084526333817,367.984227901968
1,13,11,564.665108765212,468.700303147162
2,14,1,754.994970680231,800.757658836802
2,2,16,386.207311277568,458.58011835025
2,34,7,557.447019354399,425.452988805108
1,31,2,879.716831546368,1028.10563749956
1,31,14,879.716831546368,1028.10563749956
2,56,7,691.319041065934,548.167876241122
1,83,9,476.960314146968,299.925799415648
2,50,13,1132.27646402525,1728.05925410388
1,51,3,565.73971107612,466.393613252379
1,61,6,760.779972503376,568.045420891359
1,85,8,562.542531716358,440.206574217853
1,85,9,562.542531716358,440.206574217853
2,10,8,272.011531822784,233.018448059653
1,51,7,565.73971107612,466.393613252379
2,86,1,878.211185944226,702.651588052161
2,86,4,878.211185944226,702.651588052161
2,60,7,745.503355737991,488.74254993178
2,64,5,692.090905997041,456.850994890087
1,19,13,639.443226016745,746.014899655672
2,86,14,1412.98673705889,1818.93958265578
1,27,7,356.408566904299,339.282059994165
1,13,14,915.082035924911,1230.93008907335
1,51,13,977.920293464877,1393.56163959747
2,10,2,272.011531822784,233.018448059653
1,77,2,777.435165142899,586.439152000338
2,52,3,620.051946181368,399.362948901253
2,20,4,467.976029938577,352.644343736285
2,56,14,1472.53179587365,2487.0579570199
2,4,8,235.235960805284,208.558934845872
2,52,8,620.051946181368,399.362948901253
2,60,10,745.503355737991,488.74254993178
2,64,13,2428.43314407963,5624.71591873851
2,64,12,692.090905997041,456.850994890087
1,15,15,801.099754230097,1169.91197577226
1,31,8,695.477220918297,642.566023437224
1,29,3,330.497697714928,294.038212324874
2,4,1,235.235960805284,208.558934845872
1,47,14,690.486242614477,811.490315125141
1,25,13,620.833156132704,806.972955194454
1,53,8,410.847657495515,392.830968960243
1,19,16,639.443226016745,746.014899655672
2,46,8,630.954488935745,400.81544755299
2,76,1,2388.7405313497,1498.81977259807
2,78,5,563.723860737104,394.456065669608
1,53,10,410.847657495515,392.830968960243
1,63,12,658.675089967271,479.783455850892
1,25,5,422.670056411105,374.0349098894
2,12,5,718.681186698612,814.398265774549
2,20,7,467.976029938577,352.644343736285
1,83,13,1773.38978170153,4146.27152435416
1,63,7,658.675089967271,479.783455850892
1,53,16,506.691547548064,597.49105402348
2,84,15,1134.74883532558,1564.32684610901
1,19,4,508.177946019141,471.167305045688
2,48,14,1493.43020672575,2694.87712249791
2,76,10,2388.7405313497,1498.81977259807
2,12,2,635.475641165145,636.739956831452
1,11,3,202.043681217835,176.332154668347
2,30,17,580.636616926659,651.526959921458
2,86,6,878.211185944226,702.651588052161
1,63,6,658.675089967271,479.783455850892
2,30,9,512.804375092986,508.191028738738
1,85,13,1075.99205499013,1610.51185689458
1,55,9,533.999802689224,417.139890056908
1,39,2,767.286925435251,565.543681005237
1,43,12,730.728564281636,454.141290742008
1,63,1,658.675089967271,479.783455850892
2,28,8,591.870413558406,387.111665484176
2,64,3,692.090905997041,456.850994890087
2,42,3,846.789737381576,542.330890122913
2,78,1,563.723860737104,394.456065669608
1,3,6,480.070134453419,540.580143353712
1,5,7,380.292260704683,344.274789627287
1,39,9,767.286925435251,565.543681005237
2,76,8,2388.7405313497,1498.81977259807
1,19,1,508.177946019141,471.167305045688
1,59,11,694.93855255794,737.061026883875
1,45,14,800.150014019165,832.01502562101
2,26,15,489.9970982735,547.465167811985
1,13,16,915.082035924911,1230.93008907335
1,81,2,1179.59642650411,948.652695826048
1,53,6,506.691547548064,597.49105402348
1,61,2,1551.30008563983,2361.87306581144
2,32,13,1254.85225565518,2207.53281851622
2,40,5,809.172463784676,621.013120523435
2,62,5,678.101103442712,674.184548932597
2,36,15,833.878775315793,1053.58263611698
2,26,4,437.296036587197,436.034204452023
2,10,1,272.011531822784,233.018448059653
2,38,5,396.903051293497,347.252580804673
2,22,8,545.776484290401,380.008028661683
2,34,11,557.447019354399,425.452988805108
1,61,10,760.779972503376,568.045420891359
2,56,5,691.319041065934,548.167876241122
2,24,4,514.097389733761,498.948257982891
1,5,10,380.292260704683,344.274789627287
1,43,1,730.728564281636,454.141290742008
1,55,4,533.999802689224,417.139890056908
1,27,2,460.121481355334,565.470099990274
1,33,4,454.661442400642,363.703856893339
1,21,7,780.38200022292,820.770855991662
2,62,9,678.101103442712,674.184548932597
2,42,4,846.789737381576,542.330890122913
2,56,12,691.319041065934,548.167876241122
2,36,8,556.763404506368,469.682228866737
2,14,10,754.994970680231,800.757658836802
2,58,8,746.749325318474,491.622940930649
2,60,9,745.503355737991,488.74254993178
1,13,3,564.665108765212,468.700303147162
2,36,3,833.878775315793,1053.58263611698
1,59,7,694.93855255794,737.061026883875
2,18,10,413.520104024509,251.432424564377
1,7,2,655.161779542118,747.524830031527
1,85,4,562.542531716358,440.206574217853
1,15,6,452.348748955094,373.015412565068
2,80,12,620.593233802782,436.579446906502
2,58,11,746.749325318474,491.622940930649
2,76,3,2388.7405313497,1498.81977259807
1,41,1,869.419253025333,1120.50505670597
2,60,1,745.503355737991,488.74254993178
2,28,7,591.870413558406,387.111665484176
2,38,9,396.903051293497,347.252580804673
1,17,6,383.732725099135,341.836951927765
1,19,17,639.443226016745,746.014899655672
1,83,3,476.960314146968,299.925799415648
1,61,7,760.779972503376,568.045420891359
1,33,9,454.661442400642,363.703856893339
2,32,10,512.54865631494,368.291907410747
1,39,5,767.286925435251,565.543681005237
2,42,13,3081.51409659295,7181.93528279275
2,24,6,514.097389733761,498.948257982891
1,39,6,767.286925435251,565.543681005237
2,42,2,846.789737381576,542.330890122913
