"country","hhid","year","grappe","menage","vague","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"GNB",12212706,2021,122127,6,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0500000007450581,0,0,2,0,28,1,1,1,1,0,0
"GNB",12212708,2021,122127,8,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168203998357058,0,0,0,0,0,0,0,1,0,0,0
"GNB",12212709,2021,122127,9,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0090000000782311,0,0,0,0,0,0,1,0,1,0,0
"GNB",12212901,2021,122129,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.100000001490116,0,0,0,0,4,0,1,1,0,0,0
"GNB",12212902,2021,122129,2,1,2,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.100999999791384,0,10,0,0,4,0,0,1,0,0,0
"GNB",12212903,2021,122129,3,1,2,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.189999997615814,0,7,0,0,10,0,1,1,0,0,0
"GNB",12212904,2021,122129,4,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.114207997918129,0,0,0,0,1,0,0,1,0,0,0
"GNB",12212905,2021,122129,5,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0849999990314245,0,5,0,0,4,0,1,0,1,0,0
"GNB",12212906,2021,122129,6,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130000002682209,0,0,0,0,6,0,1,0,0,0,0
"GNB",12212907,2021,122129,7,1,2,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0
"GNB",12212908,2021,122129,8,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599999986588955,0,0,0,0,0,1,0,0,0,0,0
